algorithm,threads,n,k,rep,dtype,time(mu)
SeqPriority,12,20000000,2000000,0,i32,69098
ParPriority,12,20000000,2000000,0,i32,784202
SeqPermutation,12,20000000,2000000,0,i32,36510
FullPermutation,12,20000000,2000000,0,i32,5759257
ParPermutation,12,20000000,2000000,0,i32,646426
SeqPriority,12,20000000,2000000,1,i32,40312
ParPriority,12,20000000,2000000,1,i32,1130603
SeqPermutation,12,20000000,2000000,1,i32,35512
FullPermutation,12,20000000,2000000,1,i32,5634738
ParPermutation,12,20000000,2000000,1,i32,638496
SeqPriority,12,20000000,2000000,2,i32,56819
ParPriority,12,20000000,2000000,2,i32,970163
SeqPermutation,12,20000000,2000000,2,i32,32860
FullPermutation,12,20000000,2000000,2,i32,5614260
ParPermutation,12,20000000,2000000,2,i32,644792
SeqPriority,12,20000000,2000000,3,i32,54492
ParPriority,12,20000000,2000000,3,i32,521898
SeqPermutation,12,20000000,2000000,3,i32,33171
FullPermutation,12,20000000,2000000,3,i32,5634602
ParPermutation,12,20000000,2000000,3,i32,632802
SeqPriority,12,20000000,2000000,4,i32,46103
ParPriority,12,20000000,2000000,4,i32,495772
SeqPermutation,12,20000000,2000000,4,i32,33556
FullPermutation,12,20000000,2000000,4,i32,5615294
ParPermutation,12,20000000,2000000,4,i32,637133
SeqPriority,12,20000000,2000000,5,i32,50093
ParPriority,12,20000000,2000000,5,i32,928831
SeqPermutation,12,20000000,2000000,5,i32,32797
FullPermutation,12,20000000,2000000,5,i32,5615681
ParPermutation,12,20000000,2000000,5,i32,644488
SeqPriority,12,20000000,2000000,6,i32,49965
ParPriority,12,20000000,2000000,6,i32,646606
SeqPermutation,12,20000000,2000000,6,i32,33346
FullPermutation,12,20000000,2000000,6,i32,5630589
ParPermutation,12,20000000,2000000,6,i32,646999
SeqPriority,12,20000000,2000000,7,i32,100079
ParPriority,12,20000000,2000000,7,i32,1002492
SeqPermutation,12,20000000,2000000,7,i32,33560
FullPermutation,12,20000000,2000000,7,i32,5614612
ParPermutation,12,20000000,2000000,7,i32,640821
SeqPriority,12,20000000,2000000,8,i32,44903
ParPriority,12,20000000,2000000,8,i32,593780
SeqPermutation,12,20000000,2000000,8,i32,33143
FullPermutation,12,20000000,2000000,8,i32,5610928
ParPermutation,12,20000000,2000000,8,i32,639043
SeqPriority,12,20000000,2000000,9,i32,60383
ParPriority,12,20000000,2000000,9,i32,754059
SeqPermutation,12,20000000,2000000,9,i32,33140
FullPermutation,12,20000000,2000000,9,i32,5551502
ParPermutation,12,20000000,2000000,9,i32,635190
SeqPriority,12,20000000,5000000,0,i32,52414
ParPriority,12,20000000,5000000,0,i32,841282
SeqPermutation,12,20000000,5000000,0,i32,49265
FullPermutation,12,20000000,5000000,0,i32,5617474
ParPermutation,12,20000000,5000000,0,i32,1752016
SeqPriority,12,20000000,5000000,1,i32,147366
ParPriority,12,20000000,5000000,1,i32,842752
SeqPermutation,12,20000000,5000000,1,i32,50890
FullPermutation,12,20000000,5000000,1,i32,5675705
ParPermutation,12,20000000,5000000,1,i32,1755475
SeqPriority,12,20000000,5000000,2,i32,107871
ParPriority,12,20000000,5000000,2,i32,795846
SeqPermutation,12,20000000,5000000,2,i32,48830
FullPermutation,12,20000000,5000000,2,i32,5655420
ParPermutation,12,20000000,5000000,2,i32,1764198
SeqPriority,12,20000000,5000000,3,i32,121053
ParPriority,12,20000000,5000000,3,i32,723776
SeqPermutation,12,20000000,5000000,3,i32,49683
FullPermutation,12,20000000,5000000,3,i32,5656308
ParPermutation,12,20000000,5000000,3,i32,1748283
SeqPriority,12,20000000,5000000,4,i32,93838
ParPriority,12,20000000,5000000,4,i32,765635
SeqPermutation,12,20000000,5000000,4,i32,49170
FullPermutation,12,20000000,5000000,4,i32,5667340
ParPermutation,12,20000000,5000000,4,i32,1764060
SeqPriority,12,20000000,5000000,5,i32,96906
ParPriority,12,20000000,5000000,5,i32,1112319
SeqPermutation,12,20000000,5000000,5,i32,49499
FullPermutation,12,20000000,5000000,5,i32,5678933
ParPermutation,12,20000000,5000000,5,i32,1755581
SeqPriority,12,20000000,5000000,6,i32,103627
ParPriority,12,20000000,5000000,6,i32,717202
SeqPermutation,12,20000000,5000000,6,i32,49684
FullPermutation,12,20000000,5000000,6,i32,5665015
ParPermutation,12,20000000,5000000,6,i32,1765085
SeqPriority,12,20000000,5000000,7,i32,48812
ParPriority,12,20000000,5000000,7,i32,830812
SeqPermutation,12,20000000,5000000,7,i32,49071
FullPermutation,12,20000000,5000000,7,i32,5660890
ParPermutation,12,20000000,5000000,7,i32,1763129
SeqPriority,12,20000000,5000000,8,i32,86394
ParPriority,12,20000000,5000000,8,i32,1113357
SeqPermutation,12,20000000,5000000,8,i32,49644
FullPermutation,12,20000000,5000000,8,i32,5673872
ParPermutation,12,20000000,5000000,8,i32,1761972
SeqPriority,12,20000000,5000000,9,i32,121625
ParPriority,12,20000000,5000000,9,i32,785870
SeqPermutation,12,20000000,5000000,9,i32,49278
FullPermutation,12,20000000,5000000,9,i32,5659181
ParPermutation,12,20000000,5000000,9,i32,1762311
SeqPriority,12,20000000,10000000,0,i32,101540
ParPriority,12,20000000,10000000,0,i32,645310
SeqPermutation,12,20000000,10000000,0,i32,73693
FullPermutation,12,20000000,10000000,0,i32,5662550
ParPermutation,12,20000000,10000000,0,i32,3527608
SeqPriority,12,20000000,10000000,1,i32,125408
ParPriority,12,20000000,10000000,1,i32,798726
SeqPermutation,12,20000000,10000000,1,i32,74021
FullPermutation,12,20000000,10000000,1,i32,5642799
ParPermutation,12,20000000,10000000,1,i32,3528574
SeqPriority,12,20000000,10000000,2,i32,76756
ParPriority,12,20000000,10000000,2,i32,958869
SeqPermutation,12,20000000,10000000,2,i32,78075
FullPermutation,12,20000000,10000000,2,i32,5672201
ParPermutation,12,20000000,10000000,2,i32,3529442
SeqPriority,12,20000000,10000000,3,i32,69886
ParPriority,12,20000000,10000000,3,i32,1632306
SeqPermutation,12,20000000,10000000,3,i32,76193
FullPermutation,12,20000000,10000000,3,i32,5565918
ParPermutation,12,20000000,10000000,3,i32,3520669
SeqPriority,12,20000000,10000000,4,i32,112019
ParPriority,12,20000000,10000000,4,i32,1247582
SeqPermutation,12,20000000,10000000,4,i32,74365
FullPermutation,12,20000000,10000000,4,i32,5666517
ParPermutation,12,20000000,10000000,4,i32,3520006
SeqPriority,12,20000000,10000000,5,i32,85184
ParPriority,12,20000000,10000000,5,i32,957152
SeqPermutation,12,20000000,10000000,5,i32,73065
FullPermutation,12,20000000,10000000,5,i32,5669683
ParPermutation,12,20000000,10000000,5,i32,3530026
SeqPriority,12,20000000,10000000,6,i32,87351
ParPriority,12,20000000,10000000,6,i32,1355504
SeqPermutation,12,20000000,10000000,6,i32,73254
FullPermutation,12,20000000,10000000,6,i32,5697080
ParPermutation,12,20000000,10000000,6,i32,3524198
SeqPriority,12,20000000,10000000,7,i32,75560
ParPriority,12,20000000,10000000,7,i32,1427339
SeqPermutation,12,20000000,10000000,7,i32,73790
FullPermutation,12,20000000,10000000,7,i32,5654265
ParPermutation,12,20000000,10000000,7,i32,3523115
SeqPriority,12,20000000,10000000,8,i32,221922
ParPriority,12,20000000,10000000,8,i32,1053554
SeqPermutation,12,20000000,10000000,8,i32,74218
FullPermutation,12,20000000,10000000,8,i32,5651712
ParPermutation,12,20000000,10000000,8,i32,3515002
SeqPriority,12,20000000,10000000,9,i32,81096
ParPriority,12,20000000,10000000,9,i32,846885
SeqPermutation,12,20000000,10000000,9,i32,76160
FullPermutation,12,20000000,10000000,9,i32,5665264
ParPermutation,12,20000000,10000000,9,i32,3522684
SeqPriority,12,20000000,15000000,0,i32,136243
ParPriority,12,20000000,15000000,0,i32,1295828
SeqPermutation,12,20000000,15000000,0,i32,89972
FullPermutation,12,20000000,15000000,0,i32,5683577
ParPermutation,12,20000000,15000000,0,i32,4985028
SeqPriority,12,20000000,15000000,1,i32,108894
ParPriority,12,20000000,15000000,1,i32,684418
SeqPermutation,12,20000000,15000000,1,i32,93352
FullPermutation,12,20000000,15000000,1,i32,5826818
ParPermutation,12,20000000,15000000,1,i32,4890289
SeqPriority,12,20000000,15000000,2,i32,82246
ParPriority,12,20000000,15000000,2,i32,1749369
SeqPermutation,12,20000000,15000000,2,i32,89882
FullPermutation,12,20000000,15000000,2,i32,5627936
ParPermutation,12,20000000,15000000,2,i32,4909589
SeqPriority,12,20000000,15000000,3,i32,90421
ParPriority,12,20000000,15000000,3,i32,1090276
SeqPermutation,12,20000000,15000000,3,i32,89548
FullPermutation,12,20000000,15000000,3,i32,5671882
ParPermutation,12,20000000,15000000,3,i32,4900292
SeqPriority,12,20000000,15000000,4,i32,106679
ParPriority,12,20000000,15000000,4,i32,927145
SeqPermutation,12,20000000,15000000,4,i32,90704
FullPermutation,12,20000000,15000000,4,i32,5578416
ParPermutation,12,20000000,15000000,4,i32,4823904
SeqPriority,12,20000000,15000000,5,i32,70676
ParPriority,12,20000000,15000000,5,i32,841620
SeqPermutation,12,20000000,15000000,5,i32,90680
FullPermutation,12,20000000,15000000,5,i32,5594115
ParPermutation,12,20000000,15000000,5,i32,4836983
SeqPriority,12,20000000,15000000,6,i32,93654
ParPriority,12,20000000,15000000,6,i32,789140
SeqPermutation,12,20000000,15000000,6,i32,90959
FullPermutation,12,20000000,15000000,6,i32,5670980
ParPermutation,12,20000000,15000000,6,i32,4904114
SeqPriority,12,20000000,15000000,7,i32,103342
ParPriority,12,20000000,15000000,7,i32,1005932
SeqPermutation,12,20000000,15000000,7,i32,92468
FullPermutation,12,20000000,15000000,7,i32,5675337
ParPermutation,12,20000000,15000000,7,i32,4916414
SeqPriority,12,20000000,15000000,8,i32,74211
ParPriority,12,20000000,15000000,8,i32,830547
SeqPermutation,12,20000000,15000000,8,i32,90608
FullPermutation,12,20000000,15000000,8,i32,5611021
ParPermutation,12,20000000,15000000,8,i32,4909072
SeqPriority,12,20000000,15000000,9,i32,158904
ParPriority,12,20000000,15000000,9,i32,1282262
SeqPermutation,12,20000000,15000000,9,i32,90496
FullPermutation,12,20000000,15000000,9,i32,5665885
ParPermutation,12,20000000,15000000,9,i32,4905965
SeqPriority,12,20000000,18000000,0,i32,93017
ParPriority,12,20000000,18000000,0,i32,709655
SeqPermutation,12,20000000,18000000,0,i32,94353
FullPermutation,12,20000000,18000000,0,i32,5673980
ParPermutation,12,20000000,18000000,0,i32,5417432
SeqPriority,12,20000000,18000000,1,i32,88161
ParPriority,12,20000000,18000000,1,i32,1268166
SeqPermutation,12,20000000,18000000,1,i32,96161
FullPermutation,12,20000000,18000000,1,i32,5648108
ParPermutation,12,20000000,18000000,1,i32,5434229
SeqPriority,12,20000000,18000000,2,i32,133076
ParPriority,12,20000000,18000000,2,i32,1170127
SeqPermutation,12,20000000,18000000,2,i32,94732
FullPermutation,12,20000000,18000000,2,i32,5669659
ParPermutation,12,20000000,18000000,2,i32,5442300
SeqPriority,12,20000000,18000000,3,i32,77780
ParPriority,12,20000000,18000000,3,i32,1137569
SeqPermutation,12,20000000,18000000,3,i32,94919
FullPermutation,12,20000000,18000000,3,i32,5651062
ParPermutation,12,20000000,18000000,3,i32,5424686
SeqPriority,12,20000000,18000000,4,i32,128089
ParPriority,12,20000000,18000000,4,i32,875291
SeqPermutation,12,20000000,18000000,4,i32,94441
FullPermutation,12,20000000,18000000,4,i32,5653017
ParPermutation,12,20000000,18000000,4,i32,5422166
SeqPriority,12,20000000,18000000,5,i32,152392
ParPriority,12,20000000,18000000,5,i32,780489
SeqPermutation,12,20000000,18000000,5,i32,94335
FullPermutation,12,20000000,18000000,5,i32,5659223
ParPermutation,12,20000000,18000000,5,i32,5418815
SeqPriority,12,20000000,18000000,6,i32,116388
ParPriority,12,20000000,18000000,6,i32,883873
SeqPermutation,12,20000000,18000000,6,i32,96627
FullPermutation,12,20000000,18000000,6,i32,5666128
ParPermutation,12,20000000,18000000,6,i32,5420394
SeqPriority,12,20000000,18000000,7,i32,105890
ParPriority,12,20000000,18000000,7,i32,965118
SeqPermutation,12,20000000,18000000,7,i32,94760
FullPermutation,12,20000000,18000000,7,i32,5647852
ParPermutation,12,20000000,18000000,7,i32,5429471
SeqPriority,12,20000000,18000000,8,i32,76750
ParPriority,12,20000000,18000000,8,i32,911055
SeqPermutation,12,20000000,18000000,8,i32,93360
FullPermutation,12,20000000,18000000,8,i32,5661492
ParPermutation,12,20000000,18000000,8,i32,5426187
SeqPriority,12,20000000,18000000,9,i32,132248
ParPriority,12,20000000,18000000,9,i32,1101581
SeqPermutation,12,20000000,18000000,9,i32,92997
FullPermutation,12,20000000,18000000,9,i32,5643888
ParPermutation,12,20000000,18000000,9,i32,5432232
