algorithm,threads,n,k,rep,dtype,time(mu)
SeqPriority,24,20000000,2000000,0,i32,53302
ParPriority,24,20000000,2000000,0,i32,741367
SeqPermutation,24,20000000,2000000,0,i32,31961
FullPermutation,24,20000000,2000000,0,i32,6317409
ParPermutation,24,20000000,2000000,0,i32,764731
SeqPriority,24,20000000,2000000,1,i32,62669
ParPriority,24,20000000,2000000,1,i32,475321
SeqPermutation,24,20000000,2000000,1,i32,28054
FullPermutation,24,20000000,2000000,1,i32,6228856
ParPermutation,24,20000000,2000000,1,i32,762609
SeqPriority,24,20000000,2000000,2,i32,36183
ParPriority,24,20000000,2000000,2,i32,327445
SeqPermutation,24,20000000,2000000,2,i32,28790
FullPermutation,24,20000000,2000000,2,i32,6223552
ParPermutation,24,20000000,2000000,2,i32,744622
SeqPriority,24,20000000,2000000,3,i32,48971
ParPriority,24,20000000,2000000,3,i32,425537
SeqPermutation,24,20000000,2000000,3,i32,28692
FullPermutation,24,20000000,2000000,3,i32,6042949
ParPermutation,24,20000000,2000000,3,i32,765034
SeqPriority,24,20000000,2000000,4,i32,79048
ParPriority,24,20000000,2000000,4,i32,519745
SeqPermutation,24,20000000,2000000,4,i32,28178
FullPermutation,24,20000000,2000000,4,i32,6090049
ParPermutation,24,20000000,2000000,4,i32,753451
SeqPriority,24,20000000,2000000,5,i32,35541
ParPriority,24,20000000,2000000,5,i32,375516
SeqPermutation,24,20000000,2000000,5,i32,29240
FullPermutation,24,20000000,2000000,5,i32,6207567
ParPermutation,24,20000000,2000000,5,i32,766802
SeqPriority,24,20000000,2000000,6,i32,82148
ParPriority,24,20000000,2000000,6,i32,520644
SeqPermutation,24,20000000,2000000,6,i32,27523
FullPermutation,24,20000000,2000000,6,i32,6252924
ParPermutation,24,20000000,2000000,6,i32,770302
SeqPriority,24,20000000,2000000,7,i32,72232
ParPriority,24,20000000,2000000,7,i32,538624
SeqPermutation,24,20000000,2000000,7,i32,28224
FullPermutation,24,20000000,2000000,7,i32,6245546
ParPermutation,24,20000000,2000000,7,i32,766123
SeqPriority,24,20000000,2000000,8,i32,60302
ParPriority,24,20000000,2000000,8,i32,537355
SeqPermutation,24,20000000,2000000,8,i32,28205
FullPermutation,24,20000000,2000000,8,i32,6209459
ParPermutation,24,20000000,2000000,8,i32,751486
SeqPriority,24,20000000,2000000,9,i32,52240
ParPriority,24,20000000,2000000,9,i32,454947
