algorithm,threads,n,k,rep,dtype,time
Naive,12,30000000,3000000,0,i32,1975
SeqPriority,12,30000000,3000000,0,i32,76
ParPriority,12,30000000,3000000,0,i32,950
SeqPermutation,12,30000000,3000000,0,i32,61
FullPermutation,12,30000000,3000000,0,i32,9549
ParPermutation,12,30000000,3000000,0,i32,1096
Naive,12,30000000,3000000,1,i32,1907
SeqPriority,12,30000000,3000000,1,i32,78
ParPriority,12,30000000,3000000,1,i32,856
SeqPermutation,12,30000000,3000000,1,i32,62
FullPermutation,12,30000000,3000000,1,i32,9567
ParPermutation,12,30000000,3000000,1,i32,1097
Naive,12,30000000,3000000,2,i32,1950
SeqPriority,12,30000000,3000000,2,i32,102
ParPriority,12,30000000,3000000,2,i32,748
SeqPermutation,12,30000000,3000000,2,i32,60
FullPermutation,12,30000000,3000000,2,i32,9542
ParPermutation,12,30000000,3000000,2,i32,1103
Naive,12,30000000,3000000,3,i32,1957
SeqPriority,12,30000000,3000000,3,i32,49
ParPriority,12,30000000,3000000,3,i32,761
SeqPermutation,12,30000000,3000000,3,i32,62
FullPermutation,12,30000000,3000000,3,i32,9555
ParPermutation,12,30000000,3000000,3,i32,1091
Naive,12,30000000,3000000,4,i32,1958
SeqPriority,12,30000000,3000000,4,i32,48
ParPriority,12,30000000,3000000,4,i32,1082
SeqPermutation,12,30000000,3000000,4,i32,63
FullPermutation,12,30000000,3000000,4,i32,9553
ParPermutation,12,30000000,3000000,4,i32,1099
Naive,12,30000000,3000000,5,i32,1960
SeqPriority,12,30000000,3000000,5,i32,84
ParPriority,12,30000000,3000000,5,i32,930
SeqPermutation,12,30000000,3000000,5,i32,60
FullPermutation,12,30000000,3000000,5,i32,9538
ParPermutation,12,30000000,3000000,5,i32,1078
Naive,12,30000000,3000000,6,i32,1983
SeqPriority,12,30000000,3000000,6,i32,143
ParPriority,12,30000000,3000000,6,i32,1263
SeqPermutation,12,30000000,3000000,6,i32,60
FullPermutation,12,30000000,3000000,6,i32,9550
ParPermutation,12,30000000,3000000,6,i32,1095
Naive,12,30000000,3000000,7,i32,1954
SeqPriority,12,30000000,3000000,7,i32,122
ParPriority,12,30000000,3000000,7,i32,1281
SeqPermutation,12,30000000,3000000,7,i32,59
FullPermutation,12,30000000,3000000,7,i32,9558
ParPermutation,12,30000000,3000000,7,i32,1096
Naive,12,30000000,3000000,8,i32,1908
SeqPriority,12,30000000,3000000,8,i32,109
ParPriority,12,30000000,3000000,8,i32,905
SeqPermutation,12,30000000,3000000,8,i32,61
FullPermutation,12,30000000,3000000,8,i32,9581
ParPermutation,12,30000000,3000000,8,i32,1108
Naive,12,30000000,3000000,9,i32,1894
SeqPriority,12,30000000,3000000,9,i32,56
ParPriority,12,30000000,3000000,9,i32,913
SeqPermutation,12,30000000,3000000,9,i32,61
FullPermutation,12,30000000,3000000,9,i32,9578
ParPermutation,12,30000000,3000000,9,i32,1098
Naive,12,30000000,7500000,0,i32,2748
SeqPriority,12,30000000,7500000,0,i32,85
ParPriority,12,30000000,7500000,0,i32,1262
SeqPermutation,12,30000000,7500000,0,i32,80
FullPermutation,12,30000000,7500000,0,i32,9564
ParPermutation,12,30000000,7500000,0,i32,2939
Naive,12,30000000,7500000,1,i32,2742
SeqPriority,12,30000000,7500000,1,i32,100
ParPriority,12,30000000,7500000,1,i32,1571
SeqPermutation,12,30000000,7500000,1,i32,80
FullPermutation,12,30000000,7500000,1,i32,9530
ParPermutation,12,30000000,7500000,1,i32,2941
Naive,12,30000000,7500000,2,i32,2748
SeqPriority,12,30000000,7500000,2,i32,140
ParPriority,12,30000000,7500000,2,i32,1061
SeqPermutation,12,30000000,7500000,2,i32,86
FullPermutation,12,30000000,7500000,2,i32,9565
ParPermutation,12,30000000,7500000,2,i32,2959
Naive,12,30000000,7500000,3,i32,2683
SeqPriority,12,30000000,7500000,3,i32,52
ParPriority,12,30000000,7500000,3,i32,1968
SeqPermutation,12,30000000,7500000,3,i32,87
FullPermutation,12,30000000,7500000,3,i32,9548
ParPermutation,12,30000000,7500000,3,i32,2950
Naive,12,30000000,7500000,4,i32,2743
SeqPriority,12,30000000,7500000,4,i32,131
ParPriority,12,30000000,7500000,4,i32,1604
SeqPermutation,12,30000000,7500000,4,i32,87
FullPermutation,12,30000000,7500000,4,i32,9553
ParPermutation,12,30000000,7500000,4,i32,2946
Naive,12,30000000,7500000,5,i32,2672
SeqPriority,12,30000000,7500000,5,i32,112
ParPriority,12,30000000,7500000,5,i32,1440
SeqPermutation,12,30000000,7500000,5,i32,86
FullPermutation,12,30000000,7500000,5,i32,9581
ParPermutation,12,30000000,7500000,5,i32,2952
Naive,12,30000000,7500000,6,i32,2688
SeqPriority,12,30000000,7500000,6,i32,117
ParPriority,12,30000000,7500000,6,i32,1846
SeqPermutation,12,30000000,7500000,6,i32,87
FullPermutation,12,30000000,7500000,6,i32,9550
ParPermutation,12,30000000,7500000,6,i32,2945
Naive,12,30000000,7500000,7,i32,2682
SeqPriority,12,30000000,7500000,7,i32,158
ParPriority,12,30000000,7500000,7,i32,2352
SeqPermutation,12,30000000,7500000,7,i32,80
FullPermutation,12,30000000,7500000,7,i32,9532
ParPermutation,12,30000000,7500000,7,i32,2944
Naive,12,30000000,7500000,8,i32,2781
SeqPriority,12,30000000,7500000,8,i32,45
ParPriority,12,30000000,7500000,8,i32,1418
SeqPermutation,12,30000000,7500000,8,i32,86
FullPermutation,12,30000000,7500000,8,i32,9574
ParPermutation,12,30000000,7500000,8,i32,2957
Naive,12,30000000,7500000,9,i32,2720
SeqPriority,12,30000000,7500000,9,i32,122
ParPriority,12,30000000,7500000,9,i32,1301
SeqPermutation,12,30000000,7500000,9,i32,89
FullPermutation,12,30000000,7500000,9,i32,9569
ParPermutation,12,30000000,7500000,9,i32,2936
Naive,12,30000000,15000000,0,i32,4247
SeqPriority,12,30000000,15000000,0,i32,94
ParPriority,12,30000000,15000000,0,i32,1518
SeqPermutation,12,30000000,15000000,0,i32,130
FullPermutation,12,30000000,15000000,0,i32,9556
ParPermutation,12,30000000,15000000,0,i32,5997
Naive,12,30000000,15000000,1,i32,4157
SeqPriority,12,30000000,15000000,1,i32,174
ParPriority,12,30000000,15000000,1,i32,1052
SeqPermutation,12,30000000,15000000,1,i32,131
FullPermutation,12,30000000,15000000,1,i32,9561
ParPermutation,12,30000000,15000000,1,i32,6011
Naive,12,30000000,15000000,2,i32,4298
SeqPriority,12,30000000,15000000,2,i32,132
ParPriority,12,30000000,15000000,2,i32,2694
SeqPermutation,12,30000000,15000000,2,i32,130
FullPermutation,12,30000000,15000000,2,i32,9569
ParPermutation,12,30000000,15000000,2,i32,5992
Naive,12,30000000,15000000,3,i32,4170
SeqPriority,12,30000000,15000000,3,i32,236
ParPriority,12,30000000,15000000,3,i32,1232
SeqPermutation,12,30000000,15000000,3,i32,130
FullPermutation,12,30000000,15000000,3,i32,9580
ParPermutation,12,30000000,15000000,3,i32,6008
Naive,12,30000000,15000000,4,i32,4266
SeqPriority,12,30000000,15000000,4,i32,99
ParPriority,12,30000000,15000000,4,i32,1061
SeqPermutation,12,30000000,15000000,4,i32,128
FullPermutation,12,30000000,15000000,4,i32,9570
ParPermutation,12,30000000,15000000,4,i32,6008
Naive,12,30000000,15000000,5,i32,4133
SeqPriority,12,30000000,15000000,5,i32,157
ParPriority,12,30000000,15000000,5,i32,1749
SeqPermutation,12,30000000,15000000,5,i32,128
FullPermutation,12,30000000,15000000,5,i32,9560
ParPermutation,12,30000000,15000000,5,i32,6010
Naive,12,30000000,15000000,6,i32,4241
SeqPriority,12,30000000,15000000,6,i32,124
ParPriority,12,30000000,15000000,6,i32,2172
SeqPermutation,12,30000000,15000000,6,i32,129
FullPermutation,12,30000000,15000000,6,i32,9566
ParPermutation,12,30000000,15000000,6,i32,6007
Naive,12,30000000,15000000,7,i32,4190
SeqPriority,12,30000000,15000000,7,i32,138
ParPriority,12,30000000,15000000,7,i32,1842
SeqPermutation,12,30000000,15000000,7,i32,128
FullPermutation,12,30000000,15000000,7,i32,9561
ParPermutation,12,30000000,15000000,7,i32,6001
Naive,12,30000000,15000000,8,i32,4115
SeqPriority,12,30000000,15000000,8,i32,153
ParPriority,12,30000000,15000000,8,i32,1619
SeqPermutation,12,30000000,15000000,8,i32,128
FullPermutation,12,30000000,15000000,8,i32,9583
ParPermutation,12,30000000,15000000,8,i32,5994
Naive,12,30000000,15000000,9,i32,4224
SeqPriority,12,30000000,15000000,9,i32,129
ParPriority,12,30000000,15000000,9,i32,1234
SeqPermutation,12,30000000,15000000,9,i32,129
FullPermutation,12,30000000,15000000,9,i32,9573
ParPermutation,12,30000000,15000000,9,i32,6014
Naive,12,30000000,22500000,0,i32,5880
SeqPriority,12,30000000,22500000,0,i32,201
ParPriority,12,30000000,22500000,0,i32,1378
SeqPermutation,12,30000000,22500000,0,i32,168
FullPermutation,12,30000000,22500000,0,i32,9557
ParPermutation,12,30000000,22500000,0,i32,8527
Naive,12,30000000,22500000,1,i32,5746
SeqPriority,12,30000000,22500000,1,i32,119
ParPriority,12,30000000,22500000,1,i32,1684
SeqPermutation,12,30000000,22500000,1,i32,166
FullPermutation,12,30000000,22500000,1,i32,9538
ParPermutation,12,30000000,22500000,1,i32,8513
Naive,12,30000000,22500000,2,i32,5896
SeqPriority,12,30000000,22500000,2,i32,182
ParPriority,12,30000000,22500000,2,i32,1513
SeqPermutation,12,30000000,22500000,2,i32,157
FullPermutation,12,30000000,22500000,2,i32,9550
ParPermutation,12,30000000,22500000,2,i32,8504
Naive,12,30000000,22500000,3,i32,5744
SeqPriority,12,30000000,22500000,3,i32,117
ParPriority,12,30000000,22500000,3,i32,1203
SeqPermutation,12,30000000,22500000,3,i32,165
FullPermutation,12,30000000,22500000,3,i32,9577
ParPermutation,12,30000000,22500000,3,i32,8523
Naive,12,30000000,22500000,4,i32,5988
SeqPriority,12,30000000,22500000,4,i32,177
ParPriority,12,30000000,22500000,4,i32,1227
SeqPermutation,12,30000000,22500000,4,i32,167
FullPermutation,12,30000000,22500000,4,i32,9532
ParPermutation,12,30000000,22500000,4,i32,8497
Naive,12,30000000,22500000,5,i32,5756
SeqPriority,12,30000000,22500000,5,i32,215
ParPriority,12,30000000,22500000,5,i32,1461
SeqPermutation,12,30000000,22500000,5,i32,168
FullPermutation,12,30000000,22500000,5,i32,9577
ParPermutation,12,30000000,22500000,5,i32,8532
Naive,12,30000000,22500000,6,i32,5789
SeqPriority,12,30000000,22500000,6,i32,252
ParPriority,12,30000000,22500000,6,i32,1897
SeqPermutation,12,30000000,22500000,6,i32,167
FullPermutation,12,30000000,22500000,6,i32,9572
ParPermutation,12,30000000,22500000,6,i32,8502
Naive,12,30000000,22500000,7,i32,5780
SeqPriority,12,30000000,22500000,7,i32,124
ParPriority,12,30000000,22500000,7,i32,2255
SeqPermutation,12,30000000,22500000,7,i32,167
FullPermutation,12,30000000,22500000,7,i32,9572
ParPermutation,12,30000000,22500000,7,i32,8490
Naive,12,30000000,22500000,8,i32,5877
SeqPriority,12,30000000,22500000,8,i32,229
ParPriority,12,30000000,22500000,8,i32,1379
SeqPermutation,12,30000000,22500000,8,i32,168
FullPermutation,12,30000000,22500000,8,i32,9554
ParPermutation,12,30000000,22500000,8,i32,8503
Naive,12,30000000,22500000,9,i32,5903
SeqPriority,12,30000000,22500000,9,i32,150
ParPriority,12,30000000,22500000,9,i32,1547
SeqPermutation,12,30000000,22500000,9,i32,170
FullPermutation,12,30000000,22500000,9,i32,9590
ParPermutation,12,30000000,22500000,9,i32,8491
Naive,12,30000000,27000000,0,i32,7383
SeqPriority,12,30000000,27000000,0,i32,121
ParPriority,12,30000000,27000000,0,i32,1856
SeqPermutation,12,30000000,27000000,0,i32,178
FullPermutation,12,30000000,27000000,0,i32,9592
ParPermutation,12,30000000,27000000,0,i32,9384
Naive,12,30000000,27000000,1,i32,7223
SeqPriority,12,30000000,27000000,1,i32,173
ParPriority,12,30000000,27000000,1,i32,1081
SeqPermutation,12,30000000,27000000,1,i32,177
FullPermutation,12,30000000,27000000,1,i32,9580
ParPermutation,12,30000000,27000000,1,i32,9375
Naive,12,30000000,27000000,2,i32,7218
SeqPriority,12,30000000,27000000,2,i32,151
ParPriority,12,30000000,27000000,2,i32,1269
SeqPermutation,12,30000000,27000000,2,i32,176
FullPermutation,12,30000000,27000000,2,i32,9578
ParPermutation,12,30000000,27000000,2,i32,9393
Naive,12,30000000,27000000,3,i32,7282
SeqPriority,12,30000000,27000000,3,i32,170
ParPriority,12,30000000,27000000,3,i32,1301
SeqPermutation,12,30000000,27000000,3,i32,177
FullPermutation,12,30000000,27000000,3,i32,9593
ParPermutation,12,30000000,27000000,3,i32,9365
Naive,12,30000000,27000000,4,i32,7366
SeqPriority,12,30000000,27000000,4,i32,170
ParPriority,12,30000000,27000000,4,i32,2511
SeqPermutation,12,30000000,27000000,4,i32,178
FullPermutation,12,30000000,27000000,4,i32,9588
ParPermutation,12,30000000,27000000,4,i32,9379
Naive,12,30000000,27000000,5,i32,7200
SeqPriority,12,30000000,27000000,5,i32,108
ParPriority,12,30000000,27000000,5,i32,1431
SeqPermutation,12,30000000,27000000,5,i32,181
FullPermutation,12,30000000,27000000,5,i32,9582
ParPermutation,12,30000000,27000000,5,i32,9359
Naive,12,30000000,27000000,6,i32,7208
SeqPriority,12,30000000,27000000,6,i32,145
ParPriority,12,30000000,27000000,6,i32,1413
SeqPermutation,12,30000000,27000000,6,i32,180
FullPermutation,12,30000000,27000000,6,i32,9588
ParPermutation,12,30000000,27000000,6,i32,9378
Naive,12,30000000,27000000,7,i32,7263
SeqPriority,12,30000000,27000000,7,i32,151
ParPriority,12,30000000,27000000,7,i32,1166
SeqPermutation,12,30000000,27000000,7,i32,176
FullPermutation,12,30000000,27000000,7,i32,9571
ParPermutation,12,30000000,27000000,7,i32,9395
Naive,12,30000000,27000000,8,i32,7225
SeqPriority,12,30000000,27000000,8,i32,171
ParPriority,12,30000000,27000000,8,i32,1758
SeqPermutation,12,30000000,27000000,8,i32,176
FullPermutation,12,30000000,27000000,8,i32,9596
ParPermutation,12,30000000,27000000,8,i32,9397
Naive,12,30000000,27000000,9,i32,7407
SeqPriority,12,30000000,27000000,9,i32,113
ParPriority,12,30000000,27000000,9,i32,1599
SeqPermutation,12,30000000,27000000,9,i32,179
FullPermutation,12,30000000,27000000,9,i32,9584
ParPermutation,12,30000000,27000000,9,i32,9386
