algorithm,threads,n,k,rep,dtype,time
Naive,12,30000000,3000000,0,i32,1905
SeqPriority,12,30000000,3000000,0,i32,92
ParPriority,12,30000000,3000000,0,i32,1079
SeqPermutation,12,30000000,3000000,0,i32,59
FullPermutation,12,30000000,3000000,0,i32,9569
ParPermutation,12,30000000,3000000,0,i32,1084
Naive,12,30000000,3000000,1,i32,1905
SeqPriority,12,30000000,3000000,1,i32,90
ParPriority,12,30000000,3000000,1,i32,844
SeqPermutation,12,30000000,3000000,1,i32,53
FullPermutation,12,30000000,3000000,1,i32,9649
ParPermutation,12,30000000,3000000,1,i32,1067
Naive,12,30000000,3000000,2,i32,1891
SeqPriority,12,30000000,3000000,2,i32,62
ParPriority,12,30000000,3000000,2,i32,1034
SeqPermutation,12,30000000,3000000,2,i32,53
FullPermutation,12,30000000,3000000,2,i32,9629
ParPermutation,12,30000000,3000000,2,i32,1076
Naive,12,30000000,3000000,3,i32,1909
SeqPriority,12,30000000,3000000,3,i32,60
ParPriority,12,30000000,3000000,3,i32,707
SeqPermutation,12,30000000,3000000,3,i32,53
FullPermutation,12,30000000,3000000,3,i32,9604
ParPermutation,12,30000000,3000000,3,i32,1078
Naive,12,30000000,3000000,4,i32,1914
SeqPriority,12,30000000,3000000,4,i32,185
ParPriority,12,30000000,3000000,4,i32,847
SeqPermutation,12,30000000,3000000,4,i32,53
FullPermutation,12,30000000,3000000,4,i32,9599
ParPermutation,12,30000000,3000000,4,i32,1079
Naive,12,30000000,3000000,5,i32,1983
SeqPriority,12,30000000,3000000,5,i32,117
ParPriority,12,30000000,3000000,5,i32,1441
SeqPermutation,12,30000000,3000000,5,i32,53
FullPermutation,12,30000000,3000000,5,i32,9602
ParPermutation,12,30000000,3000000,5,i32,1065
Naive,12,30000000,3000000,6,i32,1942
SeqPriority,12,30000000,3000000,6,i32,73
ParPriority,12,30000000,3000000,6,i32,951
SeqPermutation,12,30000000,3000000,6,i32,58
FullPermutation,12,30000000,3000000,6,i32,9599
ParPermutation,12,30000000,3000000,6,i32,1085
Naive,12,30000000,3000000,7,i32,1935
SeqPriority,12,30000000,3000000,7,i32,111
ParPriority,12,30000000,3000000,7,i32,945
SeqPermutation,12,30000000,3000000,7,i32,58
FullPermutation,12,30000000,3000000,7,i32,9609
ParPermutation,12,30000000,3000000,7,i32,1085
Naive,12,30000000,3000000,8,i32,1909
SeqPriority,12,30000000,3000000,8,i32,47
ParPriority,12,30000000,3000000,8,i32,1137
SeqPermutation,12,30000000,3000000,8,i32,53
FullPermutation,12,30000000,3000000,8,i32,9513
ParPermutation,12,30000000,3000000,8,i32,1076
Naive,12,30000000,3000000,9,i32,1949
SeqPriority,12,30000000,3000000,9,i32,81
ParPriority,12,30000000,3000000,9,i32,1140
SeqPermutation,12,30000000,3000000,9,i32,54
FullPermutation,12,30000000,3000000,9,i32,9563
ParPermutation,12,30000000,3000000,9,i32,1070
Naive,12,30000000,3000000,10,i32,1925
SeqPriority,12,30000000,3000000,10,i32,112
ParPriority,12,30000000,3000000,10,i32,1046
SeqPermutation,12,30000000,3000000,10,i32,53
FullPermutation,12,30000000,3000000,10,i32,9495
ParPermutation,12,30000000,3000000,10,i32,1081
Naive,12,30000000,3000000,11,i32,1923
SeqPriority,12,30000000,3000000,11,i32,44
ParPriority,12,30000000,3000000,11,i32,1048
SeqPermutation,12,30000000,3000000,11,i32,53
FullPermutation,12,30000000,3000000,11,i32,9410
ParPermutation,12,30000000,3000000,11,i32,1076
Naive,12,30000000,3000000,12,i32,1940
SeqPriority,12,30000000,3000000,12,i32,157
ParPriority,12,30000000,3000000,12,i32,1032
SeqPermutation,12,30000000,3000000,12,i32,55
FullPermutation,12,30000000,3000000,12,i32,9407
ParPermutation,12,30000000,3000000,12,i32,1069
Naive,12,30000000,3000000,13,i32,1902
SeqPriority,12,30000000,3000000,13,i32,54
ParPriority,12,30000000,3000000,13,i32,1622
SeqPermutation,12,30000000,3000000,13,i32,55
FullPermutation,12,30000000,3000000,13,i32,9443
ParPermutation,12,30000000,3000000,13,i32,1071
Naive,12,30000000,3000000,14,i32,1949
SeqPriority,12,30000000,3000000,14,i32,130
ParPriority,12,30000000,3000000,14,i32,1196
SeqPermutation,12,30000000,3000000,14,i32,53
FullPermutation,12,30000000,3000000,14,i32,9424
ParPermutation,12,30000000,3000000,14,i32,1076
Naive,12,30000000,7500000,0,i32,2732
SeqPriority,12,30000000,7500000,0,i32,101
ParPriority,12,30000000,7500000,0,i32,1136
SeqPermutation,12,30000000,7500000,0,i32,84
FullPermutation,12,30000000,7500000,0,i32,9545
ParPermutation,12,30000000,7500000,0,i32,2930
Naive,12,30000000,7500000,1,i32,2693
SeqPriority,12,30000000,7500000,1,i32,120
ParPriority,12,30000000,7500000,1,i32,1258
SeqPermutation,12,30000000,7500000,1,i32,80
FullPermutation,12,30000000,7500000,1,i32,9538
ParPermutation,12,30000000,7500000,1,i32,2930
Naive,12,30000000,7500000,2,i32,2767
SeqPriority,12,30000000,7500000,2,i32,85
ParPriority,12,30000000,7500000,2,i32,2015
SeqPermutation,12,30000000,7500000,2,i32,85
