algorithm,threads,n,k,rep,dtype,time
Naive,24,30000000,3000000,0,i32,1975
SeqPriority,24,30000000,3000000,0,i32,38
ParPriority,24,30000000,3000000,0,i32,1191
SeqPermutation,24,30000000,3000000,0,i32,54
FullPermutation,24,30000000,3000000,0,i32,10726
ParPermutation,24,30000000,3000000,0,i32,1242
Naive,24,30000000,3000000,1,i32,1939
SeqPriority,24,30000000,3000000,1,i32,204
ParPriority,24,30000000,3000000,1,i32,536
SeqPermutation,24,30000000,3000000,1,i32,50
FullPermutation,24,30000000,3000000,1,i32,10785
ParPermutation,24,30000000,3000000,1,i32,1221
Naive,24,30000000,3000000,2,i32,1937
SeqPriority,24,30000000,3000000,2,i32,128
ParPriority,24,30000000,3000000,2,i32,695
SeqPermutation,24,30000000,3000000,2,i32,50
FullPermutation,24,30000000,3000000,2,i32,10755
ParPermutation,24,30000000,3000000,2,i32,1215
Naive,24,30000000,3000000,3,i32,1953
SeqPriority,24,30000000,3000000,3,i32,55
ParPriority,24,30000000,3000000,3,i32,946
SeqPermutation,24,30000000,3000000,3,i32,52
FullPermutation,24,30000000,3000000,3,i32,10732
ParPermutation,24,30000000,3000000,3,i32,1218
Naive,24,30000000,3000000,4,i32,1905
SeqPriority,24,30000000,3000000,4,i32,30
ParPriority,24,30000000,3000000,4,i32,620
SeqPermutation,24,30000000,3000000,4,i32,51
FullPermutation,24,30000000,3000000,4,i32,10727
ParPermutation,24,30000000,3000000,4,i32,1211
Naive,24,30000000,3000000,5,i32,1946
SeqPriority,24,30000000,3000000,5,i32,97
ParPriority,24,30000000,3000000,5,i32,1106
SeqPermutation,24,30000000,3000000,5,i32,52
FullPermutation,24,30000000,3000000,5,i32,10733
ParPermutation,24,30000000,3000000,5,i32,1205
Naive,24,30000000,3000000,6,i32,1972
SeqPriority,24,30000000,3000000,6,i32,59
ParPriority,24,30000000,3000000,6,i32,828
SeqPermutation,24,30000000,3000000,6,i32,49
FullPermutation,24,30000000,3000000,6,i32,10688
ParPermutation,24,30000000,3000000,6,i32,1196
Naive,24,30000000,3000000,7,i32,1905
SeqPriority,24,30000000,3000000,7,i32,76
ParPriority,24,30000000,3000000,7,i32,832
SeqPermutation,24,30000000,3000000,7,i32,49
FullPermutation,24,30000000,3000000,7,i32,10651
ParPermutation,24,30000000,3000000,7,i32,1199
Naive,24,30000000,3000000,8,i32,1957
SeqPriority,24,30000000,3000000,8,i32,111
ParPriority,24,30000000,3000000,8,i32,711
SeqPermutation,24,30000000,3000000,8,i32,50
FullPermutation,24,30000000,3000000,8,i32,10548
ParPermutation,24,30000000,3000000,8,i32,1237
Naive,24,30000000,3000000,9,i32,1984
SeqPriority,24,30000000,3000000,9,i32,59
ParPriority,24,30000000,3000000,9,i32,758
SeqPermutation,24,30000000,3000000,9,i32,49
FullPermutation,24,30000000,3000000,9,i32,10479
ParPermutation,24,30000000,3000000,9,i32,1200
Naive,24,30000000,7500000,0,i32,2758
SeqPriority,24,30000000,7500000,0,i32,122
ParPriority,24,30000000,7500000,0,i32,812
SeqPermutation,24,30000000,7500000,0,i32,81
FullPermutation,24,30000000,7500000,0,i32,10535
ParPermutation,24,30000000,7500000,0,i32,3144
Naive,24,30000000,7500000,1,i32,2772
SeqPriority,24,30000000,7500000,1,i32,113
ParPriority,24,30000000,7500000,1,i32,820
SeqPermutation,24,30000000,7500000,1,i32,81
FullPermutation,24,30000000,7500000,1,i32,10551
ParPermutation,24,30000000,7500000,1,i32,3118
Naive,24,30000000,7500000,2,i32,2773
SeqPriority,24,30000000,7500000,2,i32,183
ParPriority,24,30000000,7500000,2,i32,1268
SeqPermutation,24,30000000,7500000,2,i32,85
FullPermutation,24,30000000,7500000,2,i32,10532
ParPermutation,24,30000000,7500000,2,i32,3125
Naive,24,30000000,7500000,3,i32,2797
SeqPriority,24,30000000,7500000,3,i32,116
ParPriority,24,30000000,7500000,3,i32,1073
SeqPermutation,24,30000000,7500000,3,i32,81
FullPermutation,24,30000000,7500000,3,i32,10587
ParPermutation,24,30000000,7500000,3,i32,3117
Naive,24,30000000,7500000,4,i32,2718
SeqPriority,24,30000000,7500000,4,i32,68
ParPriority,24,30000000,7500000,4,i32,1374
SeqPermutation,24,30000000,7500000,4,i32,81
FullPermutation,24,30000000,7500000,4,i32,10523
ParPermutation,24,30000000,7500000,4,i32,3138
Naive,24,30000000,7500000,5,i32,2677
SeqPriority,24,30000000,7500000,5,i32,144
ParPriority,24,30000000,7500000,5,i32,1121
SeqPermutation,24,30000000,7500000,5,i32,81
FullPermutation,24,30000000,7500000,5,i32,10512
ParPermutation,24,30000000,7500000,5,i32,3101
Naive,24,30000000,7500000,6,i32,2810
SeqPriority,24,30000000,7500000,6,i32,100
ParPriority,24,30000000,7500000,6,i32,866
SeqPermutation,24,30000000,7500000,6,i32,76
FullPermutation,24,30000000,7500000,6,i32,10528
ParPermutation,24,30000000,7500000,6,i32,3158
Naive,24,30000000,7500000,7,i32,2763
SeqPriority,24,30000000,7500000,7,i32,98
ParPriority,24,30000000,7500000,7,i32,1195
SeqPermutation,24,30000000,7500000,7,i32,81
FullPermutation,24,30000000,7500000,7,i32,10547
ParPermutation,24,30000000,7500000,7,i32,3132
Naive,24,30000000,7500000,8,i32,2767
SeqPriority,24,30000000,7500000,8,i32,107
ParPriority,24,30000000,7500000,8,i32,1008
SeqPermutation,24,30000000,7500000,8,i32,83
FullPermutation,24,30000000,7500000,8,i32,10489
ParPermutation,24,30000000,7500000,8,i32,3111
Naive,24,30000000,7500000,9,i32,2722
SeqPriority,24,30000000,7500000,9,i32,111
ParPriority,24,30000000,7500000,9,i32,851
SeqPermutation,24,30000000,7500000,9,i32,82
FullPermutation,24,30000000,7500000,9,i32,10486
ParPermutation,24,30000000,7500000,9,i32,3126
Naive,24,30000000,15000000,0,i32,4249
SeqPriority,24,30000000,15000000,0,i32,196
ParPriority,24,30000000,15000000,0,i32,1246
SeqPermutation,24,30000000,15000000,0,i32,123
FullPermutation,24,30000000,15000000,0,i32,10483
ParPermutation,24,30000000,15000000,0,i32,6318
Naive,24,30000000,15000000,1,i32,4140
SeqPriority,24,30000000,15000000,1,i32,176
ParPriority,24,30000000,15000000,1,i32,836
SeqPermutation,24,30000000,15000000,1,i32,127
FullPermutation,24,30000000,15000000,1,i32,10522
ParPermutation,24,30000000,15000000,1,i32,6363
Naive,24,30000000,15000000,2,i32,4284
SeqPriority,24,30000000,15000000,2,i32,171
ParPriority,24,30000000,15000000,2,i32,1006
SeqPermutation,24,30000000,15000000,2,i32,122
FullPermutation,24,30000000,15000000,2,i32,10575
ParPermutation,24,30000000,15000000,2,i32,6420
Naive,24,30000000,15000000,3,i32,4090
SeqPriority,24,30000000,15000000,3,i32,87
ParPriority,24,30000000,15000000,3,i32,1193
SeqPermutation,24,30000000,15000000,3,i32,128
FullPermutation,24,30000000,15000000,3,i32,10573
ParPermutation,24,30000000,15000000,3,i32,6420
Naive,24,30000000,15000000,4,i32,4277
SeqPriority,24,30000000,15000000,4,i32,165
ParPriority,24,30000000,15000000,4,i32,1172
SeqPermutation,24,30000000,15000000,4,i32,123
FullPermutation,24,30000000,15000000,4,i32,10581
ParPermutation,24,30000000,15000000,4,i32,6389
Naive,24,30000000,15000000,5,i32,4237
SeqPriority,24,30000000,15000000,5,i32,263
ParPriority,24,30000000,15000000,5,i32,920
SeqPermutation,24,30000000,15000000,5,i32,124
FullPermutation,24,30000000,15000000,5,i32,10600
ParPermutation,24,30000000,15000000,5,i32,6539
Naive,24,30000000,15000000,6,i32,4153
SeqPriority,24,30000000,15000000,6,i32,101
ParPriority,24,30000000,15000000,6,i32,1403
SeqPermutation,24,30000000,15000000,6,i32,124
FullPermutation,24,30000000,15000000,6,i32,10561
ParPermutation,24,30000000,15000000,6,i32,6437
Naive,24,30000000,15000000,7,i32,4282
SeqPriority,24,30000000,15000000,7,i32,148
ParPriority,24,30000000,15000000,7,i32,1023
SeqPermutation,24,30000000,15000000,7,i32,124
FullPermutation,24,30000000,15000000,7,i32,10599
ParPermutation,24,30000000,15000000,7,i32,6454
Naive,24,30000000,15000000,8,i32,4150
SeqPriority,24,30000000,15000000,8,i32,114
ParPriority,24,30000000,15000000,8,i32,1129
SeqPermutation,24,30000000,15000000,8,i32,123
FullPermutation,24,30000000,15000000,8,i32,10578
ParPermutation,24,30000000,15000000,8,i32,6420
Naive,24,30000000,15000000,9,i32,4285
SeqPriority,24,30000000,15000000,9,i32,192
ParPriority,24,30000000,15000000,9,i32,1603
SeqPermutation,24,30000000,15000000,9,i32,123
FullPermutation,24,30000000,15000000,9,i32,10612
ParPermutation,24,30000000,15000000,9,i32,6366
Naive,24,30000000,22500000,0,i32,5854
