algorithm,threads,n,k,rep,dtype,time
Naive,24,30000000,3000000,0,i32,1910
SeqPriority,24,30000000,3000000,0,i32,65
ParPriority,24,30000000,3000000,0,i32,1238
SeqPermutation,24,30000000,3000000,0,i32,54
FullPermutation,24,30000000,3000000,0,i32,10583
ParPermutation,24,30000000,3000000,0,i32,1232
Naive,24,30000000,3000000,1,i32,1921
SeqPriority,24,30000000,3000000,1,i32,85
ParPriority,24,30000000,3000000,1,i32,1082
SeqPermutation,24,30000000,3000000,1,i32,57
FullPermutation,24,30000000,3000000,1,i32,10580
ParPermutation,24,30000000,3000000,1,i32,1230
Naive,24,30000000,3000000,2,i32,1918
SeqPriority,24,30000000,3000000,2,i32,121
ParPriority,24,30000000,3000000,2,i32,692
SeqPermutation,24,30000000,3000000,2,i32,54
FullPermutation,24,30000000,3000000,2,i32,10493
ParPermutation,24,30000000,3000000,2,i32,1242
Naive,24,30000000,3000000,3,i32,1951
SeqPriority,24,30000000,3000000,3,i32,48
ParPriority,24,30000000,3000000,3,i32,897
SeqPermutation,24,30000000,3000000,3,i32,54
FullPermutation,24,30000000,3000000,3,i32,10509
ParPermutation,24,30000000,3000000,3,i32,1232
Naive,24,30000000,3000000,4,i32,1961
SeqPriority,24,30000000,3000000,4,i32,98
ParPriority,24,30000000,3000000,4,i32,649
SeqPermutation,24,30000000,3000000,4,i32,56
FullPermutation,24,30000000,3000000,4,i32,10455
ParPermutation,24,30000000,3000000,4,i32,1264
Naive,24,30000000,3000000,5,i32,1975
SeqPriority,24,30000000,3000000,5,i32,80
ParPriority,24,30000000,3000000,5,i32,742
SeqPermutation,24,30000000,3000000,5,i32,54
FullPermutation,24,30000000,3000000,5,i32,10469
ParPermutation,24,30000000,3000000,5,i32,1246
Naive,24,30000000,3000000,6,i32,1955
SeqPriority,24,30000000,3000000,6,i32,92
ParPriority,24,30000000,3000000,6,i32,678
SeqPermutation,24,30000000,3000000,6,i32,56
FullPermutation,24,30000000,3000000,6,i32,10505
ParPermutation,24,30000000,3000000,6,i32,1227
Naive,24,30000000,3000000,7,i32,1965
SeqPriority,24,30000000,3000000,7,i32,112
ParPriority,24,30000000,3000000,7,i32,758
SeqPermutation,24,30000000,3000000,7,i32,58
FullPermutation,24,30000000,3000000,7,i32,10482
ParPermutation,24,30000000,3000000,7,i32,1234
Naive,24,30000000,3000000,8,i32,1901
SeqPriority,24,30000000,3000000,8,i32,94
ParPriority,24,30000000,3000000,8,i32,969
SeqPermutation,24,30000000,3000000,8,i32,57
FullPermutation,24,30000000,3000000,8,i32,10532
ParPermutation,24,30000000,3000000,8,i32,1247
Naive,24,30000000,3000000,9,i32,1941
SeqPriority,24,30000000,3000000,9,i32,98
ParPriority,24,30000000,3000000,9,i32,986
SeqPermutation,24,30000000,3000000,9,i32,54
FullPermutation,24,30000000,3000000,9,i32,10499
ParPermutation,24,30000000,3000000,9,i32,1257
Naive,24,30000000,3000000,10,i32,1961
SeqPriority,24,30000000,3000000,10,i32,74
ParPriority,24,30000000,3000000,10,i32,1417
SeqPermutation,24,30000000,3000000,10,i32,55
FullPermutation,24,30000000,3000000,10,i32,10456
ParPermutation,24,30000000,3000000,10,i32,1225
Naive,24,30000000,3000000,11,i32,1971
SeqPriority,24,30000000,3000000,11,i32,96
ParPriority,24,30000000,3000000,11,i32,862
SeqPermutation,24,30000000,3000000,11,i32,54
FullPermutation,24,30000000,3000000,11,i32,10497
ParPermutation,24,30000000,3000000,11,i32,1250
Naive,24,30000000,3000000,12,i32,1935
SeqPriority,24,30000000,3000000,12,i32,96
ParPriority,24,30000000,3000000,12,i32,493
SeqPermutation,24,30000000,3000000,12,i32,53
FullPermutation,24,30000000,3000000,12,i32,10493
ParPermutation,24,30000000,3000000,12,i32,1232
Naive,24,30000000,3000000,13,i32,1940
SeqPriority,24,30000000,3000000,13,i32,99
ParPriority,24,30000000,3000000,13,i32,685
SeqPermutation,24,30000000,3000000,13,i32,54
FullPermutation,24,30000000,3000000,13,i32,10501
ParPermutation,24,30000000,3000000,13,i32,1252
Naive,24,30000000,3000000,14,i32,1976
SeqPriority,24,30000000,3000000,14,i32,108
ParPriority,24,30000000,3000000,14,i32,1632
SeqPermutation,24,30000000,3000000,14,i32,58
FullPermutation,24,30000000,3000000,14,i32,10467
ParPermutation,24,30000000,3000000,14,i32,1238
Naive,24,30000000,7500000,0,i32,2707
SeqPriority,24,30000000,7500000,0,i32,66
ParPriority,24,30000000,7500000,0,i32,1057
SeqPermutation,24,30000000,7500000,0,i32,86
FullPermutation,24,30000000,7500000,0,i32,10530
ParPermutation,24,30000000,7500000,0,i32,3160
Naive,24,30000000,7500000,1,i32,2671
SeqPriority,24,30000000,7500000,1,i32,108
ParPriority,24,30000000,7500000,1,i32,606
SeqPermutation,24,30000000,7500000,1,i32,84
FullPermutation,24,30000000,7500000,1,i32,10503
ParPermutation,24,30000000,7500000,1,i32,3154
Naive,24,30000000,7500000,2,i32,2678
SeqPriority,24,30000000,7500000,2,i32,70
ParPriority,24,30000000,7500000,2,i32,1016
SeqPermutation,24,30000000,7500000,2,i32,86
FullPermutation,24,30000000,7500000,2,i32,10503
ParPermutation,24,30000000,7500000,2,i32,3166
Naive,24,30000000,7500000,3,i32,2728
SeqPriority,24,30000000,7500000,3,i32,141
ParPriority,24,30000000,7500000,3,i32,788
SeqPermutation,24,30000000,7500000,3,i32,85
FullPermutation,24,30000000,7500000,3,i32,10497
ParPermutation,24,30000000,7500000,3,i32,3156
Naive,24,30000000,7500000,4,i32,2694
SeqPriority,24,30000000,7500000,4,i32,113
ParPriority,24,30000000,7500000,4,i32,1055
SeqPermutation,24,30000000,7500000,4,i32,85
FullPermutation,24,30000000,7500000,4,i32,10491
ParPermutation,24,30000000,7500000,4,i32,3144
Naive,24,30000000,7500000,5,i32,2705
SeqPriority,24,30000000,7500000,5,i32,55
ParPriority,24,30000000,7500000,5,i32,1216
SeqPermutation,24,30000000,7500000,5,i32,96
FullPermutation,24,30000000,7500000,5,i32,10452
ParPermutation,24,30000000,7500000,5,i32,3147
Naive,24,30000000,7500000,6,i32,2697
SeqPriority,24,30000000,7500000,6,i32,101
ParPriority,24,30000000,7500000,6,i32,740
SeqPermutation,24,30000000,7500000,6,i32,87
FullPermutation,24,30000000,7500000,6,i32,10495
ParPermutation,24,30000000,7500000,6,i32,3168
Naive,24,30000000,7500000,7,i32,2760
SeqPriority,24,30000000,7500000,7,i32,86
ParPriority,24,30000000,7500000,7,i32,921
SeqPermutation,24,30000000,7500000,7,i32,85
FullPermutation,24,30000000,7500000,7,i32,10505
ParPermutation,24,30000000,7500000,7,i32,3190
Naive,24,30000000,7500000,8,i32,2674
SeqPriority,24,30000000,7500000,8,i32,109
ParPriority,24,30000000,7500000,8,i32,1483
SeqPermutation,24,30000000,7500000,8,i32,86
FullPermutation,24,30000000,7500000,8,i32,10544
ParPermutation,24,30000000,7500000,8,i32,3150
Naive,24,30000000,7500000,9,i32,2771
SeqPriority,24,30000000,7500000,9,i32,100
ParPriority,24,30000000,7500000,9,i32,619
SeqPermutation,24,30000000,7500000,9,i32,87
FullPermutation,24,30000000,7500000,9,i32,10464
ParPermutation,24,30000000,7500000,9,i32,3147
Naive,24,30000000,7500000,10,i32,2819
SeqPriority,24,30000000,7500000,10,i32,130
ParPriority,24,30000000,7500000,10,i32,1271
SeqPermutation,24,30000000,7500000,10,i32,89
FullPermutation,24,30000000,7500000,10,i32,10497
ParPermutation,24,30000000,7500000,10,i32,3140
Naive,24,30000000,7500000,11,i32,2752
SeqPriority,24,30000000,7500000,11,i32,186
ParPriority,24,30000000,7500000,11,i32,798
SeqPermutation,24,30000000,7500000,11,i32,85
FullPermutation,24,30000000,7500000,11,i32,10539
ParPermutation,24,30000000,7500000,11,i32,3157
Naive,24,30000000,7500000,12,i32,2772
SeqPriority,24,30000000,7500000,12,i32,157
ParPriority,24,30000000,7500000,12,i32,670
SeqPermutation,24,30000000,7500000,12,i32,88
FullPermutation,24,30000000,7500000,12,i32,10525
ParPermutation,24,30000000,7500000,12,i32,3135
Naive,24,30000000,7500000,13,i32,2779
SeqPriority,24,30000000,7500000,13,i32,93
ParPriority,24,30000000,7500000,13,i32,1374
SeqPermutation,24,30000000,7500000,13,i32,85
FullPermutation,24,30000000,7500000,13,i32,10519
ParPermutation,24,30000000,7500000,13,i32,3155
Naive,24,30000000,7500000,14,i32,2729
SeqPriority,24,30000000,7500000,14,i32,122
ParPriority,24,30000000,7500000,14,i32,745
SeqPermutation,24,30000000,7500000,14,i32,84
FullPermutation,24,30000000,7500000,14,i32,10525
ParPermutation,24,30000000,7500000,14,i32,3136
Naive,24,30000000,15000000,0,i32,4164
SeqPriority,24,30000000,15000000,0,i32,211
ParPriority,24,30000000,15000000,0,i32,1080
SeqPermutation,24,30000000,15000000,0,i32,132
FullPermutation,24,30000000,15000000,0,i32,10505
ParPermutation,24,30000000,15000000,0,i32,6342
Naive,24,30000000,15000000,1,i32,4141
SeqPriority,24,30000000,15000000,1,i32,95
ParPriority,24,30000000,15000000,1,i32,1006
SeqPermutation,24,30000000,15000000,1,i32,135
FullPermutation,24,30000000,15000000,1,i32,10558
ParPermutation,24,30000000,15000000,1,i32,6332
Naive,24,30000000,15000000,2,i32,4151
SeqPriority,24,30000000,15000000,2,i32,79
ParPriority,24,30000000,15000000,2,i32,1010
SeqPermutation,24,30000000,15000000,2,i32,134
FullPermutation,24,30000000,15000000,2,i32,10488
ParPermutation,24,30000000,15000000,2,i32,6366
Naive,24,30000000,15000000,3,i32,4289
SeqPriority,24,30000000,15000000,3,i32,158
ParPriority,24,30000000,15000000,3,i32,1055
SeqPermutation,24,30000000,15000000,3,i32,135
FullPermutation,24,30000000,15000000,3,i32,10485
ParPermutation,24,30000000,15000000,3,i32,6324
Naive,24,30000000,15000000,4,i32,4114
SeqPriority,24,30000000,15000000,4,i32,121
ParPriority,24,30000000,15000000,4,i32,1675
SeqPermutation,24,30000000,15000000,4,i32,133
FullPermutation,24,30000000,15000000,4,i32,10526
