algo,k%,threads,time(ms),rep
Naive,10,1,3327644,0
SeqPriority,10,1,2206907
ParPriority,10,1,1649767,0
SeqPermutation,10,1,527340,0
ParPermutation,10,1,1683714,0
ParPermutationFull,10,1,13061336,0
Naive,10,1,3260442,1
SeqPriority,10,1,2197351
ParPriority,10,1,1672720,1
SeqPermutation,10,1,525668,1
ParPermutation,10,1,1664686,1
ParPermutationFull,10,1,12964077,1
Naive,10,1,3748732,2
SeqPriority,10,1,1627908
ParPriority,10,1,1592532,2
SeqPermutation,10,1,526131,2
ParPermutation,10,1,1661866,2
ParPermutationFull,10,1,12969976,2
Naive,10,1,3740989,3
SeqPriority,10,1,1591892
ParPriority,10,1,1642898,3
SeqPermutation,10,1,526549,3
ParPermutation,10,1,1662994,3
ParPermutationFull,10,1,12962704,3
Naive,10,1,3710929,4
SeqPriority,10,1,1640103
ParPriority,10,1,1571657,4
SeqPermutation,10,1,525902,4
ParPermutation,10,1,1659788,4
ParPermutationFull,10,1,12964763,4
Naive,25,1,12054619,0
SeqPriority,25,1,1710216
ParPriority,25,1,1699600,0
SeqPermutation,25,1,597734,0
ParPermutation,25,1,3349089,0
ParPermutationFull,25,1,12960591,0
Naive,25,1,11996357,1
SeqPriority,25,1,1639286
ParPriority,25,1,1680433,1
SeqPermutation,25,1,616497,1
ParPermutation,25,1,3371493,1
ParPermutationFull,25,1,12980345,1
Naive,25,1,12071472,2
SeqPriority,25,1,1772156
ParPriority,25,1,1738987,2
SeqPermutation,25,1,616802,2
ParPermutation,25,1,3375719,2
ParPermutationFull,25,1,12987472,2
Naive,25,1,12128261,3
SeqPriority,25,1,1794391
ParPriority,25,1,1747454,3
SeqPermutation,25,1,618909,3
ParPermutation,25,1,3372382,3
ParPermutationFull,25,1,12973223,3
Naive,25,1,12067173,4
SeqPriority,25,1,1684796
ParPriority,25,1,1725247,4
SeqPermutation,25,1,598937,4
ParPermutation,25,1,3356042,4
ParPermutationFull,25,1,13123306,4
Naive,50,1,24042830,0
SeqPriority,50,1,1847665
ParPriority,50,1,1806590,0
SeqPermutation,50,1,699794,0
ParPermutation,50,1,6180824,0
ParPermutationFull,50,1,12979551,0
Naive,50,1,24076803,1
SeqPriority,50,1,1933732
ParPriority,50,1,1813714,1
SeqPermutation,50,1,774108,1
ParPermutation,50,1,6152838,1
ParPermutationFull,50,1,12905558,1
Naive,50,1,24112118,2
SeqPriority,50,1,1891798
ParPriority,50,1,1847917,2
SeqPermutation,50,1,746689,2
ParPermutation,50,1,6266419,2
ParPermutationFull,50,1,12904128,2
Naive,50,1,23996918,3
SeqPriority,50,1,1876999
ParPriority,50,1,1781983,3
SeqPermutation,50,1,768320,3
ParPermutation,50,1,6149150,3
ParPermutationFull,50,1,12898230,3
Naive,50,1,24123964,4
SeqPriority,50,1,1897442
ParPriority,50,1,1753181,4
SeqPermutation,50,1,694614,4
ParPermutation,50,1,6175752,4
ParPermutationFull,50,1,12955512,4
Naive,75,1,30741327,0
SeqPriority,75,1,1794502
ParPriority,75,1,1704303,0
SeqPermutation,75,1,845684,0
ParPermutation,75,1,9615598,0
ParPermutationFull,75,1,13438258,0
Naive,75,1,30471318,1
SeqPriority,75,1,1768819
ParPriority,75,1,1657019,1
SeqPermutation,75,1,842325,1
ParPermutation,75,1,9579585,1
ParPermutationFull,75,1,13155311,1
Naive,75,1,29865093,2
SeqPriority,75,1,1766242
ParPriority,75,1,1683148,2
SeqPermutation,75,1,838109,2
ParPermutation,75,1,9415425,2
ParPermutationFull,75,1,13019159,2
Naive,75,1,30135013,3
SeqPriority,75,1,1756870
ParPriority,75,1,1663739,3
SeqPermutation,75,1,837672,3
ParPermutation,75,1,9403800,3
ParPermutationFull,75,1,13262258,3
Naive,75,1,30138708,4
SeqPriority,75,1,1730700
ParPriority,75,1,1683305,4
SeqPermutation,75,1,839415,4
ParPermutation,75,1,9407505,4
ParPermutationFull,75,1,13008460,4
Naive,90,1,37367666,0
SeqPriority,90,1,1642541
ParPriority,90,1,1607959,0
SeqPermutation,90,1,912978,0
ParPermutation,90,1,11513543,0
ParPermutationFull,90,1,12783148,0
Naive,90,1,38054501,1
SeqPriority,90,1,1402500
ParPriority,90,1,1624702,1
SeqPermutation,90,1,912380,1
ParPermutation,90,1,11258252,1
ParPermutationFull,90,1,12557431,1
Naive,90,1,37625815,2
SeqPriority,90,1,1453140
ParPriority,90,1,1610437,2
SeqPermutation,90,1,914464,2
ParPermutation,90,1,11203949,2
ParPermutationFull,90,1,12475757,2
Naive,90,1,37625632,3
SeqPriority,90,1,1449250
ParPriority,90,1,1567770,3
SeqPermutation,90,1,915217,3
ParPermutation,90,1,11203898,3
ParPermutationFull,90,1,12492562,3
Naive,90,1,38100656,4
SeqPriority,90,1,1482364
ParPriority,90,1,1643426,4
SeqPermutation,90,1,918485,4
ParPermutation,90,1,11256058,4
ParPermutationFull,90,1,12554209,4
