algo,k,threads,time(ms),rep
Naive,28,1,192604,0
SeqPriority,28,1,7072946
ParPriority,28,1,6469936,0
SeqPermutation,28,1,2654456,0
ParPermutation,28,1,3028270,0
ParPermutationFull,28,1,73312060,0
Naive,288,1,195338,0
SeqPriority,288,1,7027744
ParPriority,288,1,6327199,0
SeqPermutation,288,1,2654301,0
ParPermutation,288,1,3024965,0
ParPermutationFull,288,1,74433579,0
Naive,2889,1,192223,0
SeqPriority,2889,1,7540344
ParPriority,2889,1,6926135,0
SeqPermutation,2889,1,2709454,0
ParPermutation,2889,1,3081290,0
ParPermutationFull,2889,1,74433017,0
Naive,22360,1,196585,0
SeqPriority,22360,1,7593002
ParPriority,22360,1,7068952,0
SeqPermutation,22360,1,2697633,0
ParPermutation,22360,1,3080956,0
ParPermutationFull,22360,1,74554272,0
Naive,223600,1,220851,0
SeqPriority,223600,1,5824115
ParPriority,223600,1,6657063,0
SeqPermutation,223600,1,2695069,0
ParPermutation,223600,1,3096724,0
ParPermutationFull,223600,1,74603886,0
Naive,2236000,1,706170,0
SeqPriority,2236000,1,7325200
ParPriority,2236000,1,7983102,0
SeqPermutation,2236000,1,2682893,0
ParPermutation,2236000,1,3265488,0
ParPermutationFull,2236000,1,74587009,0
Naive,22360000,1,7979736,0
SeqPriority,22360000,1,9252030
ParPriority,22360000,1,8320756,0
SeqPermutation,22360000,1,2830226,0
ParPermutation,22360000,1,5519053,0
ParPermutationFull,22360000,1,74378737,0
