algo,k%,threads,time(ms),rep
Naive,10,24,919394,0
SeqPriority,10,24,630567
ParPriority,10,24,105292,0
SeqPermutation,10,24,156009,0
ParPermutation,10,24,190115,0
ParPermutationFull,10,24,2108745,0
Naive,10,24,1029240,1
SeqPriority,10,24,416569
ParPriority,10,24,83533,1
SeqPermutation,10,24,149352,1
ParPermutation,10,24,173388,1
ParPermutationFull,10,24,2033591,1
Naive,10,24,1012115,2
SeqPriority,10,24,477229
ParPriority,10,24,83795,2
SeqPermutation,10,24,155746,2
ParPermutation,10,24,168295,2
ParPermutationFull,10,24,2029258,2
Naive,10,24,1020975,3
SeqPriority,10,24,479234
ParPriority,10,24,84131,3
SeqPermutation,10,24,154281,3
ParPermutation,10,24,169612,3
ParPermutationFull,10,24,2024289,3
Naive,10,24,1006908,4
SeqPriority,10,24,468827
ParPriority,10,24,81479,4
SeqPermutation,10,24,156462,4
ParPermutation,10,24,168165,4
ParPermutationFull,10,24,2028540,4
Naive,25,24,2926241,0
SeqPriority,25,24,518839
ParPriority,25,24,87671,0
SeqPermutation,25,24,173343,0
ParPermutation,25,24,433206,0
ParPermutationFull,25,24,2013147,0
Naive,25,24,2939034,1
SeqPriority,25,24,528295
ParPriority,25,24,97697,1
SeqPermutation,25,24,179786,1
ParPermutation,25,24,441702,1
ParPermutationFull,25,24,2027374,1
Naive,25,24,2962134,2
SeqPriority,25,24,514397
ParPriority,25,24,92769,2
SeqPermutation,25,24,179703,2
ParPermutation,25,24,456623,2
ParPermutationFull,25,24,2026810,2
Naive,25,24,2872066,3
SeqPriority,25,24,513528
ParPriority,25,24,97506,3
SeqPermutation,25,24,178482,3
ParPermutation,25,24,442295,3
ParPermutationFull,25,24,2024495,3
Naive,25,24,2926234,4
SeqPriority,25,24,519295
ParPriority,25,24,87797,4
SeqPermutation,25,24,177901,4
ParPermutation,25,24,441077,4
ParPermutationFull,25,24,2027125,4
Naive,50,24,6217568,0
SeqPriority,50,24,573560
ParPriority,50,24,103350,0
SeqPermutation,50,24,209138,0
ParPermutation,50,24,945218,0
ParPermutationFull,50,24,2032249,0
Naive,50,24,6299527,1
SeqPriority,50,24,566770
ParPriority,50,24,94163,1
SeqPermutation,50,24,209282,1
ParPermutation,50,24,946121,1
ParPermutationFull,50,24,2020908,1
Naive,50,24,6375276,2
SeqPriority,50,24,568972
ParPriority,50,24,96274,2
SeqPermutation,50,24,210717,2
ParPermutation,50,24,949573,2
ParPermutationFull,50,24,2023219,2
Naive,50,24,6133904,3
SeqPriority,50,24,544596
ParPriority,50,24,93258,3
SeqPermutation,50,24,211272,3
ParPermutation,50,24,943765,3
ParPermutationFull,50,24,2027567,3
Naive,50,24,6134808,4
SeqPriority,50,24,546622
ParPriority,50,24,95532,4
SeqPermutation,50,24,209970,4
ParPermutation,50,24,952517,4
ParPermutationFull,50,24,2034594,4
Naive,75,24,8743682,0
SeqPriority,75,24,508069
ParPriority,75,24,107852,0
SeqPermutation,75,24,221555,0
ParPermutation,75,24,1482535,0
ParPermutationFull,75,24,2013286,0
Naive,75,24,8901039,1
SeqPriority,75,24,514800
ParPriority,75,24,103861,1
SeqPermutation,75,24,225094,1
ParPermutation,75,24,1481727,1
ParPermutationFull,75,24,2013292,1
Naive,75,24,8695010,2
SeqPriority,75,24,436823
ParPriority,75,24,107018,2
SeqPermutation,75,24,222437,2
ParPermutation,75,24,1472655,2
ParPermutationFull,75,24,2015406,2
Naive,75,24,8639543,3
SeqPriority,75,24,485961
ParPriority,75,24,100710,3
SeqPermutation,75,24,225231,3
ParPermutation,75,24,1474534,3
ParPermutationFull,75,24,2013493,3
Naive,75,24,8810047,4
SeqPriority,75,24,516213
ParPriority,75,24,99909,4
SeqPermutation,75,24,226434,4
ParPermutation,75,24,1488516,4
ParPermutationFull,75,24,2013926,4
Naive,90,24,12090299,0
SeqPriority,90,24,460324
ParPriority,90,24,115197,0
SeqPermutation,90,24,233793,0
ParPermutation,90,24,1800254,0
ParPermutationFull,90,24,2009687,0
Naive,90,24,12054808,1
SeqPriority,90,24,456630
ParPriority,90,24,107048,1
SeqPermutation,90,24,235619,1
ParPermutation,90,24,1795118,1
ParPermutationFull,90,24,2015737,1
Naive,90,24,11897404,2
SeqPriority,90,24,429446
ParPriority,90,24,105112,2
SeqPermutation,90,24,231235,2
ParPermutation,90,24,1820848,2
ParPermutationFull,90,24,2013070,2
Naive,90,24,12508754,3
SeqPriority,90,24,441325
ParPriority,90,24,108057,3
SeqPermutation,90,24,257751,3
ParPermutation,90,24,1800733,3
ParPermutationFull,90,24,2007386,3
Naive,90,24,11998033,4
SeqPriority,90,24,464919
ParPriority,90,24,108883,4
SeqPermutation,90,24,235855,4
ParPermutation,90,24,1803572,4
ParPermutationFull,90,24,2024199,4
