algo,k,num_threads,time
Naive,25000,1,3
Naive,25000,1,3
Naive,25000,1,3
Naive,50000,1,6
Naive,50000,1,6
Naive,50000,1,6
Naive,75000,1,9
Naive,75000,1,9
Naive,75000,1,9
Naive,100000,1,13
Naive,100000,1,13
Naive,100000,1,13
Naive,250000,1,32
Naive,250000,1,31
Naive,250000,1,31
Naive,500000,1,64
Naive,500000,1,67
Naive,500000,1,67
Naive,750000,1,119
Naive,750000,1,118
Naive,750000,1,118
Naive,1000000,1,161
Naive,1000000,1,167
Naive,1000000,1,170
Naive,2500000,1,586
Naive,2500000,1,580
Naive,2500000,1,584
Naive,5000000,1,1429
Naive,5000000,1,1432
Naive,5000000,1,1407
Naive,7500000,1,2506
Naive,7500000,1,2536
Naive,7500000,1,2519
Naive,10000000,1,3199
Naive,10000000,1,3198
Naive,10000000,1,3191
Naive,25000000,1,10229
Naive,25000000,1,10202
Naive,25000000,1,10365
Naive,50000000,1,22200
Naive,50000000,1,22159
Naive,50000000,1,21557
SeqPriority,25000,1,6619
SeqPriority,25000,1,5926
SeqPriority,25000,1,6514
SeqPriority,50000,1,7016
SeqPriority,50000,1,7192
SeqPriority,50000,1,7714
SeqPriority,75000,1,7127
SeqPriority,75000,1,7165
SeqPriority,75000,1,6197
SeqPriority,100000,1,6101
SeqPriority,100000,1,7394
SeqPriority,100000,1,6145
SeqPriority,250000,1,5802
SeqPriority,250000,1,6691
SeqPriority,250000,1,6500
SeqPriority,500000,1,7434
SeqPriority,500000,1,6215
SeqPriority,500000,1,7540
SeqPriority,750000,1,6820
SeqPriority,750000,1,6199
SeqPriority,750000,1,6898
SeqPriority,1000000,1,6575
SeqPriority,1000000,1,7122
SeqPriority,1000000,1,7456
SeqPriority,2500000,1,7244
SeqPriority,2500000,1,7372
SeqPriority,2500000,1,6952
SeqPriority,5000000,1,7928
SeqPriority,5000000,1,7059
SeqPriority,5000000,1,6519
SeqPriority,7500000,1,6845
SeqPriority,7500000,1,5749
SeqPriority,7500000,1,6906
SeqPriority,10000000,1,6118
SeqPriority,10000000,1,5686
SeqPriority,10000000,1,7677
SeqPriority,25000000,1,7442
SeqPriority,25000000,1,6386
SeqPriority,25000000,1,7855
SeqPriority,50000000,1,7773
SeqPriority,50000000,1,7735
SeqPriority,50000000,1,7623
ParPriority,25000,1,38998
ParPriority,25000,1,38279
ParPriority,25000,1,38432
ParPriority,50000,1,38275
ParPriority,50000,1,38595
ParPriority,50000,1,38316
ParPriority,75000,1,38324
ParPriority,75000,1,38664
ParPriority,75000,1,38424
ParPriority,100000,1,38365
ParPriority,100000,1,39239
ParPriority,100000,1,38730
ParPriority,250000,1,37411
ParPriority,250000,1,36882
ParPriority,250000,1,37962
ParPriority,500000,1,37491
ParPriority,500000,1,37239
ParPriority,500000,1,37116
ParPriority,750000,1,37851
ParPriority,750000,1,37870
ParPriority,750000,1,38237
ParPriority,1000000,1,37538
ParPriority,1000000,1,37293
ParPriority,1000000,1,39098
ParPriority,2500000,1,40239
ParPriority,2500000,1,41090
ParPriority,2500000,1,39158
ParPriority,5000000,1,39907
ParPriority,5000000,1,40674
ParPriority,5000000,1,41354
ParPriority,7500000,1,40717
ParPriority,7500000,1,42124
ParPriority,7500000,1,40773
ParPriority,10000000,1,41826
ParPriority,10000000,1,41599
ParPriority,10000000,1,41373
ParPriority,25000000,1,39636
ParPriority,25000000,1,41697
ParPriority,25000000,1,41250
ParPriority,50000000,1,41541
ParPriority,50000000,1,41737
ParPriority,50000000,1,42147
SeqPermutation,25000,1,3
SeqPermutation,25000,1,3
SeqPermutation,25000,1,3
SeqPermutation,50000,1,6
SeqPermutation,50000,1,6
SeqPermutation,50000,1,6
SeqPermutation,75000,1,9
SeqPermutation,75000,1,9
SeqPermutation,75000,1,10
SeqPermutation,100000,1,13
SeqPermutation,100000,1,13
SeqPermutation,100000,1,13
SeqPermutation,250000,1,34
SeqPermutation,250000,1,33
SeqPermutation,250000,1,33
SeqPermutation,500000,1,69
SeqPermutation,500000,1,71
SeqPermutation,500000,1,71
SeqPermutation,750000,1,127
SeqPermutation,750000,1,125
SeqPermutation,750000,1,128
SeqPermutation,1000000,1,171
SeqPermutation,1000000,1,172
SeqPermutation,1000000,1,172
SeqPermutation,2500000,1,621
SeqPermutation,2500000,1,609
SeqPermutation,2500000,1,622
SeqPermutation,5000000,1,1438
SeqPermutation,5000000,1,1466
SeqPermutation,5000000,1,1450
SeqPermutation,7500000,1,2537
SeqPermutation,7500000,1,2583
SeqPermutation,7500000,1,2537
SeqPermutation,10000000,1,3298
SeqPermutation,10000000,1,3296
SeqPermutation,10000000,1,3253
SeqPermutation,25000000,1,8760
SeqPermutation,25000000,1,8746
SeqPermutation,25000000,1,8761
SeqPermutation,50000000,1,18045
SeqPermutation,50000000,1,17882
SeqPermutation,50000000,1,17976
SeqPermutationCopy,25000,1,3
SeqPermutationCopy,25000,1,3
SeqPermutationCopy,25000,1,3
SeqPermutationCopy,50000,1,6
SeqPermutationCopy,50000,1,6
SeqPermutationCopy,50000,1,6
SeqPermutationCopy,75000,1,9
SeqPermutationCopy,75000,1,9
SeqPermutationCopy,75000,1,9
SeqPermutationCopy,100000,1,13
SeqPermutationCopy,100000,1,13
SeqPermutationCopy,100000,1,13
SeqPermutationCopy,250000,1,33
SeqPermutationCopy,250000,1,33
SeqPermutationCopy,250000,1,33
SeqPermutationCopy,500000,1,69
SeqPermutationCopy,500000,1,69
SeqPermutationCopy,500000,1,69
SeqPermutationCopy,750000,1,126
SeqPermutationCopy,750000,1,125
SeqPermutationCopy,750000,1,126
SeqPermutationCopy,1000000,1,173
SeqPermutationCopy,1000000,1,171
SeqPermutationCopy,1000000,1,172
SeqPermutationCopy,2500000,1,617
SeqPermutationCopy,2500000,1,599
SeqPermutationCopy,2500000,1,601
SeqPermutationCopy,5000000,1,1482
SeqPermutationCopy,5000000,1,1481
SeqPermutationCopy,5000000,1,1487
SeqPermutationCopy,7500000,1,2582
SeqPermutationCopy,7500000,1,2578
SeqPermutationCopy,7500000,1,2602
SeqPermutationCopy,10000000,1,3338
SeqPermutationCopy,10000000,1,3298
SeqPermutationCopy,10000000,1,3342
SeqPermutationCopy,25000000,1,8822
SeqPermutationCopy,25000000,1,8797
SeqPermutationCopy,25000000,1,8461
SeqPermutationCopy,50000000,1,17332
SeqPermutationCopy,50000000,1,17409
SeqPermutationCopy,50000000,1,17415
SeqPermutationFull,25000,1,11673
SeqPermutationFull,25000,1,11691
SeqPermutationFull,25000,1,11696
SeqPermutationFull,50000,1,11724
SeqPermutationFull,50000,1,11691
SeqPermutationFull,50000,1,11709
SeqPermutationFull,75000,1,11723
SeqPermutationFull,75000,1,11711
SeqPermutationFull,75000,1,11704
SeqPermutationFull,100000,1,11716
SeqPermutationFull,100000,1,11679
SeqPermutationFull,100000,1,11714
SeqPermutationFull,250000,1,12026
SeqPermutationFull,250000,1,11796
