algo,k,num_threads,time
Naive,50000,1,6
Naive,50000,1,6
Naive,50000,1,6
Naive,100000,1,13
Naive,100000,1,13
Naive,100000,1,13
Naive,500000,1,66
Naive,500000,1,65
Naive,500000,1,66
Naive,1000000,1,165
Naive,1000000,1,165
Naive,1000000,1,163
Naive,5000000,1,1415
Naive,5000000,1,1442
Naive,5000000,1,1499
Naive,10000000,1,3348
Naive,10000000,1,3360
Naive,10000000,1,3388
Naive,50000000,1,22547
Naive,50000000,1,22539
Naive,50000000,1,22562
Naive,100000000,1,40153
Naive,100000000,1,39966
Naive,100000000,1,40023
Naive,500000000,1,997003
Naive,500000000,1,1060641
Naive,500000000,1,933023
SeqPriority,50000,1,7381
SeqPriority,50000,1,7374
SeqPriority,50000,1,7027
SeqPriority,100000,1,5875
SeqPriority,100000,1,6109
SeqPriority,100000,1,6074
SeqPriority,500000,1,5677
SeqPriority,500000,1,6908
SeqPriority,500000,1,6784
SeqPriority,1000000,1,6483
SeqPriority,1000000,1,5584
SeqPriority,1000000,1,6469
SeqPriority,5000000,1,7572
SeqPriority,5000000,1,8010
SeqPriority,5000000,1,7930
SeqPriority,10000000,1,6898
SeqPriority,10000000,1,7170
SeqPriority,10000000,1,7602
SeqPriority,50000000,1,8193
SeqPriority,50000000,1,6596
SeqPriority,50000000,1,8032
SeqPriority,100000000,1,8519
SeqPriority,100000000,1,8599
SeqPriority,100000000,1,7823
SeqPriority,500000000,1,5149
SeqPriority,500000000,1,5149
SeqPriority,500000000,1,5148
ParPriority,50000,1,39551
ParPriority,50000,1,39898
ParPriority,50000,1,41876
ParPriority,100000,1,39089
ParPriority,100000,1,39315
ParPriority,100000,1,40410
ParPriority,500000,1,39264
ParPriority,500000,1,39720
ParPriority,500000,1,39137
ParPriority,1000000,1,39415
ParPriority,1000000,1,39538
ParPriority,1000000,1,41208
ParPriority,5000000,1,41304
ParPriority,5000000,1,42533
ParPriority,5000000,1,42158
ParPriority,10000000,1,43213
ParPriority,10000000,1,42049
ParPriority,10000000,1,41218
ParPriority,50000000,1,43110
ParPriority,50000000,1,42139
ParPriority,50000000,1,42552
ParPriority,100000000,1,43395
ParPriority,100000000,1,42585
ParPriority,100000000,1,43627
SeqPermutation,50000,1,7
SeqPermutation,50000,1,6
SeqPermutation,50000,1,6
SeqPermutation,100000,1,13
SeqPermutation,100000,1,14
SeqPermutation,100000,1,14
SeqPermutation,500000,1,70
SeqPermutation,500000,1,70
SeqPermutation,500000,1,70
SeqPermutation,1000000,1,172
SeqPermutation,1000000,1,177
SeqPermutation,1000000,1,173
SeqPermutation,5000000,1,1502
SeqPermutation,5000000,1,1500
SeqPermutation,5000000,1,1493
SeqPermutation,10000000,1,3346
SeqPermutation,10000000,1,3340
SeqPermutation,10000000,1,3340
SeqPermutation,50000000,1,18162
SeqPermutation,50000000,1,18172
SeqPermutation,50000000,1,18159
SeqPermutation,100000000,1,36086
SeqPermutation,100000000,1,35970
SeqPermutation,100000000,1,35847
SeqPermutation,500000000,1,139768
SeqPermutation,500000000,1,139528
SeqPermutation,500000000,1,139824
SeqPermutationFull,50000,1,12006
SeqPermutationFull,50000,1,12107
SeqPermutationFull,50000,1,12127
SeqPermutationFull,100000,1,12147
SeqPermutationFull,100000,1,12147
SeqPermutationFull,100000,1,12139
SeqPermutationFull,500000,1,12143
SeqPermutationFull,500000,1,12133
SeqPermutationFull,500000,1,12113
SeqPermutationFull,1000000,1,12146
SeqPermutationFull,1000000,1,12111
SeqPermutationFull,1000000,1,12141
SeqPermutationFull,5000000,1,12130
SeqPermutationFull,5000000,1,12055
SeqPermutationFull,5000000,1,12055
SeqPermutationFull,10000000,1,12148
SeqPermutationFull,10000000,1,12137
SeqPermutationFull,10000000,1,12146
SeqPermutationFull,50000000,1,12141
SeqPermutationFull,50000000,1,12146
SeqPermutationFull,50000000,1,12150
SeqPermutationFull,100000000,1,12113
SeqPermutationFull,100000000,1,12148
SeqPermutationFull,100000000,1,12147
SeqPermutationFull,500000000,1,12138
SeqPermutationFull,500000000,1,12136
SeqPermutationFull,500000000,1,12115
ParPermutation,50000,1,2853
ParPermutation,50000,1,2857
ParPermutation,50000,1,2843
ParPermutation,100000,1,2859
ParPermutation,100000,1,2858
ParPermutation,100000,1,2856
ParPermutation,500000,1,2877
ParPermutation,500000,1,2880
ParPermutation,500000,1,2880
ParPermutation,1000000,1,2899
ParPermutation,1000000,1,2904
ParPermutation,1000000,1,2901
ParPermutation,5000000,1,3133
ParPermutation,5000000,1,3134
ParPermutation,5000000,1,3135
ParPermutation,10000000,1,3435
ParPermutation,10000000,1,3431
ParPermutation,10000000,1,3434
ParPermutation,50000000,1,6019
ParPermutation,50000000,1,6010
ParPermutation,50000000,1,5974
ParPermutation,100000000,1,9866
ParPermutation,100000000,1,9867
ParPermutation,100000000,1,9875
ParPermutation,500000000,1,87000
ParPermutation,500000000,1,86032
ParPermutation,500000000,1,84690
ParPermutationFull,50000,1,87943
ParPermutationFull,50000,1,87936
ParPermutationFull,50000,1,86544
ParPermutationFull,100000,1,86580
ParPermutationFull,100000,1,86439
ParPermutationFull,100000,1,86583
ParPermutationFull,500000,1,86386
ParPermutationFull,500000,1,86456
ParPermutationFull,500000,1,86432
ParPermutationFull,1000000,1,86472
ParPermutationFull,1000000,1,86543
ParPermutationFull,1000000,1,86630
ParPermutationFull,5000000,1,86594
ParPermutationFull,5000000,1,86760
ParPermutationFull,5000000,1,86659
ParPermutationFull,10000000,1,86679
ParPermutationFull,10000000,1,86598
ParPermutationFull,10000000,1,86876
ParPermutationFull,50000000,1,86649
ParPermutationFull,50000000,1,86732
ParPermutationFull,50000000,1,86833
ParPermutationFull,100000000,1,86697
ParPermutationFull,100000000,1,86552
ParPermutationFull,100000000,1,86566
ParPermutationFull,500000000,1,86540
ParPermutationFull,500000000,1,86676
ParPermutationFull,500000000,1,86545
ParPriority,499999999,1,42459
ParPriority,499999999,1,43045
