algo,k%,threads,time
Naive,10,1,84
SeqPriority,10,1,180
ParPriority,10,1,726
SeqPermutation,10,1,80
ParPermutation,10,1,431
ParPermutationFull,10,1,788
Naive,10,1,44
SeqPriority,10,1,161
ParPriority,10,1,136
SeqPermutation,10,1,58
ParPermutation,10,1,67
ParPermutationFull,10,1,538
Naive,10,1,42
SeqPriority,10,1,156
ParPriority,10,1,135
SeqPermutation,10,1,38
ParPermutation,10,1,66
ParPermutationFull,10,1,536
Naive,10,1,41
SeqPriority,10,1,158
ParPriority,10,1,135
SeqPermutation,10,1,37
ParPermutation,10,1,66
ParPermutationFull,10,1,549
Naive,10,1,41
SeqPriority,10,1,156
ParPriority,10,1,134
SeqPermutation,10,1,37
ParPermutation,10,1,66
ParPermutationFull,10,1,538
Naive,25,1,141
SeqPriority,25,1,165
ParPriority,25,1,138
SeqPermutation,25,1,50
ParPermutation,25,1,133
ParPermutationFull,25,1,540
Naive,25,1,139
SeqPriority,25,1,163
ParPriority,25,1,137
SeqPermutation,25,1,41
ParPermutation,25,1,132
ParPermutationFull,25,1,547
Naive,25,1,139
SeqPriority,25,1,167
ParPriority,25,1,137
SeqPermutation,25,1,41
ParPermutation,25,1,132
ParPermutationFull,25,1,534
Naive,25,1,138
SeqPriority,25,1,164
ParPriority,25,1,137
SeqPermutation,25,1,40
ParPermutation,25,1,132
ParPermutationFull,25,1,533
Naive,25,1,137
SeqPriority,25,1,162
ParPriority,25,1,136
SeqPermutation,25,1,46
ParPermutation,25,1,150
ParPermutationFull,25,1,536
Naive,50,1,255
SeqPriority,50,1,242
ParPriority,50,1,157
SeqPermutation,50,1,40
ParPermutation,50,1,267
ParPermutationFull,50,1,536
Naive,50,1,240
SeqPriority,50,1,243
ParPriority,50,1,157
SeqPermutation,50,1,40
ParPermutation,50,1,266
ParPermutationFull,50,1,546
Naive,50,1,238
SeqPriority,50,1,241
ParPriority,50,1,156
SeqPermutation,50,1,40
ParPermutation,50,1,266
ParPermutationFull,50,1,535
Naive,50,1,238
SeqPriority,50,1,237
ParPriority,50,1,154
SeqPermutation,50,1,41
ParPermutation,50,1,268
ParPermutationFull,50,1,554
Naive,50,1,238
SeqPriority,50,1,239
ParPriority,50,1,154
SeqPermutation,50,1,40
ParPermutation,50,1,268
ParPermutationFull,50,1,537
Naive,75,1,490
SeqPriority,75,1,173
ParPriority,75,1,161
SeqPermutation,75,1,41
ParPermutation,75,1,394
ParPermutationFull,75,1,549
Naive,75,1,442
SeqPriority,75,1,176
ParPriority,75,1,160
SeqPermutation,75,1,41
ParPermutation,75,1,393
ParPermutationFull,75,1,538
Naive,75,1,445
SeqPriority,75,1,174
ParPriority,75,1,159
SeqPermutation,75,1,41
ParPermutation,75,1,411
ParPermutationFull,75,1,538
Naive,75,1,446
SeqPriority,75,1,176
ParPriority,75,1,159
SeqPermutation,75,1,42
ParPermutation,75,1,394
ParPermutationFull,75,1,539
Naive,75,1,443
SeqPriority,75,1,174
ParPriority,75,1,158
SeqPermutation,75,1,42
ParPermutation,75,1,402
ParPermutationFull,75,1,539
Naive,90,1,586
SeqPriority,90,1,160
ParPriority,90,1,140
SeqPermutation,90,1,42
ParPermutation,90,1,476
ParPermutationFull,90,1,539
Naive,90,1,581
SeqPriority,90,1,156
ParPriority,90,1,140
SeqPermutation,90,1,42
ParPermutation,90,1,477
ParPermutationFull,90,1,539
Naive,90,1,569
SeqPriority,90,1,152
ParPriority,90,1,139
SeqPermutation,90,1,42
ParPermutation,90,1,476
ParPermutationFull,90,1,551
Naive,90,1,572
SeqPriority,90,1,153
ParPriority,90,1,139
SeqPermutation,90,1,42
ParPermutation,90,1,476
ParPermutationFull,90,1,538
Naive,90,1,564
SeqPriority,90,1,151
ParPriority,90,1,139
SeqPermutation,90,1,42
ParPermutation,90,1,498
ParPermutationFull,90,1,538
