algorithm,threads,n,k,rep,dtype,time(mu)
Naive,1,20000000,2000000,0,i32,1044682
SeqPriority,1,20000000,2000000,0,i32,88640
ParPriority,1,20000000,2000000,0,i32,6151487
SeqPermutation,1,20000000,2000000,0,i32,226600
FullPermutation,1,20000000,2000000,0,i32,10934928
ParPermutation,1,20000000,2000000,0,i32,1320274
Naive,1,20000000,2000000,1,i32,1041948
SeqPriority,1,20000000,2000000,1,i32,50956
ParPriority,1,20000000,2000000,1,i32,6127187
SeqPermutation,1,20000000,2000000,1,i32,215916
FullPermutation,1,20000000,2000000,1,i32,10814520
ParPermutation,1,20000000,2000000,1,i32,1305543
Naive,1,20000000,2000000,2,i32,1050230
SeqPriority,1,20000000,2000000,2,i32,64877
ParPriority,1,20000000,2000000,2,i32,6421166
SeqPermutation,1,20000000,2000000,2,i32,216713
FullPermutation,1,20000000,2000000,2,i32,10833033
ParPermutation,1,20000000,2000000,2,i32,1309212
Naive,1,20000000,2000000,3,i32,1049475
SeqPriority,1,20000000,2000000,3,i32,65650
ParPriority,1,20000000,2000000,3,i32,9802531
SeqPermutation,1,20000000,2000000,3,i32,216461
FullPermutation,1,20000000,2000000,3,i32,10824162
ParPermutation,1,20000000,2000000,3,i32,1316801
Naive,1,20000000,2000000,4,i32,1046011
SeqPriority,1,20000000,2000000,4,i32,65378
ParPriority,1,20000000,2000000,4,i32,7690740
SeqPermutation,1,20000000,2000000,4,i32,215884
FullPermutation,1,20000000,2000000,4,i32,10852351
ParPermutation,1,20000000,2000000,4,i32,1312577
Naive,1,20000000,2000000,5,i32,1043487
SeqPriority,1,20000000,2000000,5,i32,62688
ParPriority,1,20000000,2000000,5,i32,7092201
SeqPermutation,1,20000000,2000000,5,i32,216164
FullPermutation,1,20000000,2000000,5,i32,10990475
ParPermutation,1,20000000,2000000,5,i32,1313015
Naive,1,20000000,2000000,6,i32,1042147
SeqPriority,1,20000000,2000000,6,i32,43512
ParPriority,1,20000000,2000000,6,i32,5701816
SeqPermutation,1,20000000,2000000,6,i32,216328
FullPermutation,1,20000000,2000000,6,i32,10916952
ParPermutation,1,20000000,2000000,6,i32,1312459
Naive,1,20000000,2000000,7,i32,1048872
SeqPriority,1,20000000,2000000,7,i32,27758
ParPriority,1,20000000,2000000,7,i32,3934744
SeqPermutation,1,20000000,2000000,7,i32,218652
FullPermutation,1,20000000,2000000,7,i32,10917188
ParPermutation,1,20000000,2000000,7,i32,1316570
Naive,1,20000000,2000000,8,i32,1054251
SeqPriority,1,20000000,2000000,8,i32,68384
ParPriority,1,20000000,2000000,8,i32,11650972
SeqPermutation,1,20000000,2000000,8,i32,216973
FullPermutation,1,20000000,2000000,8,i32,11010357
ParPermutation,1,20000000,2000000,8,i32,1317534
Naive,1,20000000,2000000,9,i32,1052003
SeqPriority,1,20000000,2000000,9,i32,65534
ParPriority,1,20000000,2000000,9,i32,7260666
SeqPermutation,1,20000000,2000000,9,i32,217729
FullPermutation,1,20000000,2000000,9,i32,10941322
ParPermutation,1,20000000,2000000,9,i32,1315859
Naive,1,20000000,5000000,0,i32,1509961
SeqPriority,1,20000000,5000000,0,i32,52712
ParPriority,1,20000000,5000000,0,i32,8502015
SeqPermutation,1,20000000,5000000,0,i32,233563
FullPermutation,1,20000000,5000000,0,i32,10943783
ParPermutation,1,20000000,5000000,0,i32,3311949
Naive,1,20000000,5000000,1,i32,1516764
SeqPriority,1,20000000,5000000,1,i32,79592
