algorithm,threads,n,k,rep,dtype,time
SeqPriority,1,30000000,3000000,0,i32,106
ParPriority,1,30000000,3000000,0,i32,7501
SeqPermutation,1,30000000,3000000,0,i32,342
FullPermutation,1,30000000,3000000,0,i32,17635
ParPermutation,1,30000000,3000000,0,i32,2136
SeqPriority,1,30000000,3000000,1,i32,123
ParPriority,1,30000000,3000000,1,i32,9145
SeqPermutation,1,30000000,3000000,1,i32,332
FullPermutation,1,30000000,3000000,1,i32,17646
ParPermutation,1,30000000,3000000,1,i32,2107
SeqPriority,1,30000000,3000000,2,i32,74
ParPriority,1,30000000,3000000,2,i32,9152
SeqPermutation,1,30000000,3000000,2,i32,324
FullPermutation,1,30000000,3000000,2,i32,17615
ParPermutation,1,30000000,3000000,2,i32,2149
SeqPriority,1,30000000,3000000,3,i32,75
ParPriority,1,30000000,3000000,3,i32,8430
SeqPermutation,1,30000000,3000000,3,i32,334
FullPermutation,1,30000000,3000000,3,i32,17811
ParPermutation,1,30000000,3000000,3,i32,2099
SeqPriority,1,30000000,3000000,4,i32,84
ParPriority,1,30000000,3000000,4,i32,15658
SeqPermutation,1,30000000,3000000,4,i32,320
FullPermutation,1,30000000,3000000,4,i32,17714
ParPermutation,1,30000000,3000000,4,i32,2098
SeqPriority,1,30000000,3000000,5,i32,49
ParPriority,1,30000000,3000000,5,i32,9483
SeqPermutation,1,30000000,3000000,5,i32,322
FullPermutation,1,30000000,3000000,5,i32,17521
ParPermutation,1,30000000,3000000,5,i32,2126
SeqPriority,1,30000000,3000000,6,i32,73
ParPriority,1,30000000,3000000,6,i32,19447
SeqPermutation,1,30000000,3000000,6,i32,334
FullPermutation,1,30000000,3000000,6,i32,17765
ParPermutation,1,30000000,3000000,6,i32,2124
SeqPriority,1,30000000,3000000,7,i32,88
ParPriority,1,30000000,3000000,7,i32,9164
SeqPermutation,1,30000000,3000000,7,i32,334
FullPermutation,1,30000000,3000000,7,i32,17832
ParPermutation,1,30000000,3000000,7,i32,2094
SeqPriority,1,30000000,3000000,8,i32,94
ParPriority,1,30000000,3000000,8,i32,9088
SeqPermutation,1,30000000,3000000,8,i32,321
FullPermutation,1,30000000,3000000,8,i32,17606
ParPermutation,1,30000000,3000000,8,i32,2095
SeqPriority,1,30000000,3000000,9,i32,66
ParPriority,1,30000000,3000000,9,i32,13266
SeqPermutation,1,30000000,3000000,9,i32,323
FullPermutation,1,30000000,3000000,9,i32,17629
ParPermutation,1,30000000,3000000,9,i32,2127
SeqPriority,1,30000000,7500000,0,i32,166
ParPriority,1,30000000,7500000,0,i32,17964
