algorithm,threads,n,k,rep,dtype,time
Naive,1,30000000,3000000,0,i32,1927
SeqPriority,1,30000000,3000000,0,i32,77
ParPriority,1,30000000,3000000,0,i32,15454
SeqPermutation,1,30000000,3000000,0,i32,310
FullPermutation,1,30000000,3000000,0,i32,17674
ParPermutation,1,30000000,3000000,0,i32,2104
Naive,1,30000000,3000000,1,i32,1944
SeqPriority,1,30000000,3000000,1,i32,77
ParPriority,1,30000000,3000000,1,i32,10081
SeqPermutation,1,30000000,3000000,1,i32,316
FullPermutation,1,30000000,3000000,1,i32,17507
ParPermutation,1,30000000,3000000,1,i32,2105
Naive,1,30000000,3000000,2,i32,1900
SeqPriority,1,30000000,3000000,2,i32,50
ParPriority,1,30000000,3000000,2,i32,11067
SeqPermutation,1,30000000,3000000,2,i32,304
FullPermutation,1,30000000,3000000,2,i32,17514
ParPermutation,1,30000000,3000000,2,i32,2110
Naive,1,30000000,3000000,3,i32,1904
SeqPriority,1,30000000,3000000,3,i32,93
ParPriority,1,30000000,3000000,3,i32,11632
SeqPermutation,1,30000000,3000000,3,i32,312
FullPermutation,1,30000000,3000000,3,i32,17748
ParPermutation,1,30000000,3000000,3,i32,2102
Naive,1,30000000,3000000,4,i32,1936
SeqPriority,1,30000000,3000000,4,i32,144
ParPriority,1,30000000,3000000,4,i32,11918
SeqPermutation,1,30000000,3000000,4,i32,307
FullPermutation,1,30000000,3000000,4,i32,17401
ParPermutation,1,30000000,3000000,4,i32,2087
Naive,1,30000000,3000000,5,i32,1921
SeqPriority,1,30000000,3000000,5,i32,112
ParPriority,1,30000000,3000000,5,i32,8813
SeqPermutation,1,30000000,3000000,5,i32,309
FullPermutation,1,30000000,3000000,5,i32,17423
ParPermutation,1,30000000,3000000,5,i32,2101
Naive,1,30000000,3000000,6,i32,1908
SeqPriority,1,30000000,3000000,6,i32,84
ParPriority,1,30000000,3000000,6,i32,11869
SeqPermutation,1,30000000,3000000,6,i32,310
FullPermutation,1,30000000,3000000,6,i32,17423
ParPermutation,1,30000000,3000000,6,i32,2114
Naive,1,30000000,3000000,7,i32,1921
SeqPriority,1,30000000,3000000,7,i32,114
ParPriority,1,30000000,3000000,7,i32,10706
SeqPermutation,1,30000000,3000000,7,i32,320
FullPermutation,1,30000000,3000000,7,i32,17560
ParPermutation,1,30000000,3000000,7,i32,2104
Naive,1,30000000,3000000,8,i32,1900
SeqPriority,1,30000000,3000000,8,i32,92
ParPriority,1,30000000,3000000,8,i32,14472
SeqPermutation,1,30000000,3000000,8,i32,316
FullPermutation,1,30000000,3000000,8,i32,17447
ParPermutation,1,30000000,3000000,8,i32,2081
Naive,1,30000000,3000000,9,i32,1914
SeqPriority,1,30000000,3000000,9,i32,68
ParPriority,1,30000000,3000000,9,i32,8921
SeqPermutation,1,30000000,3000000,9,i32,310
FullPermutation,1,30000000,3000000,9,i32,17482
ParPermutation,1,30000000,3000000,9,i32,2120
Naive,1,30000000,3000000,10,i32,1899
SeqPriority,1,30000000,3000000,10,i32,92
ParPriority,1,30000000,3000000,10,i32,7624
SeqPermutation,1,30000000,3000000,10,i32,316
